day,ad_equity,small_equity,ddbudget_equity,turtle_equity
526,0.893947,1.360748,1.950195,17.911815
527,0.885342,1.358276,1.941723,17.911815
528,0.876820,1.355808,1.933251,17.911815
529,0.868380,1.353345,1.924815,17.911815
530,0.860021,1.350886,1.916417,17.911815
531,0.860021,1.348432,1.908055,17.911815
532,0.888397,1.339517,1.903289,17.911815
533,0.917709,1.330662,1.911174,17.911815
534,0.947989,1.321865,1.933857,17.911815
535,0.979267,1.313127,1.956810,17.911815
536,1.011577,1.304446,1.975731,17.911815
537,1.044954,1.295822,1.994834,17.911815
538,1.079431,1.287256,2.014123,17.911815
539,1.115046,1.278746,2.033598,17.911815
540,1.151837,1.270292,2.050789,17.911815
541,1.189841,1.255607,2.067221,17.911815
542,1.229099,1.241091,2.082080,17.911815
543,1.269652,1.226743,2.097547,17.911815
544,1.311543,1.212561,2.113129,17.911815
545,1.354817,1.198910,2.128827,17.911815
546,1.399518,1.189979,2.146675,17.911815
547,1.445694,1.181115,2.166036,17.911815
548,1.493394,1.177261,2.185571,17.911815
549,1.542668,1.167006,2.207526,17.911815
550,1.593567,1.156839,2.227696,17.911815
551,1.646146,1.146761,2.248050,17.851962
552,1.700459,1.136771,2.268591,17.851962
553,1.700459,1.126868,2.289319,17.851962
554,1.677096,1.117052,2.285058,17.851962
555,1.654054,1.107320,2.270341,17.851962
556,1.631329,1.097674,2.300233,17.851962
557,1.608915,1.099910,2.330520,17.851962
558,1.586810,1.086492,2.365380,17.851962
559,1.565008,1.073238,2.395149,17.851962
560,1.543506,1.060145,2.379820,17.851962
561,1.522300,1.043398,2.412080,17.851962
562,1.501384,1.026916,2.404377,17.851962
563,1.480756,1.010694,2.396699,17.851962
564,1.460412,0.994729,2.391890,17.851962
565,1.440347,0.979016,2.387090,17.851962
566,1.420557,0.963551,2.382301,17.851962
567,1.401040,0.948330,2.377520,17.851962
568,1.381791,0.933350,2.372750,17.851962
569,1.362806,0.918606,2.367989,17.851962
570,1.344082,0.901113,2.363237,17.851962
571,1.325615,0.890236,2.355052,17.851962
572,1.307402,0.879490,2.349632,17.851962
573,1.289439,0.868873,2.344224,17.851962
574,1.271723,0.858385,2.338829,22.452647
575,1.271723,0.848024,2.328363,22.452647
576,1.269792,0.837787,2.323277,22.452647
577,1.267864,0.827675,2.317613,22.452647
578,1.265938,0.817684,2.311963,22.452647
579,1.264016,0.815454,2.306327,22.452647
580,1.262096,0.810844,2.304297,22.452647
581,1.260180,0.806260,2.302244,22.452647
582,1.258266,0.800301,2.292440,22.452647
583,1.256355,0.794386,2.292521,22.452647
584,1.254447,0.788515,2.292602,22.452647
585,1.252542,0.782687,2.292683,22.452647
586,1.250640,0.776902,2.292764,22.452647
587,1.248741,0.771160,2.292844,22.452647
588,1.246844,0.765460,2.292925,22.452647
589,1.244951,0.759802,2.280285,22.452647
590,1.243060,0.754187,2.267714,22.452647
591,1.241172,0.748612,2.255212,23.976944
592,1.239288,0.740928,2.242779,23.976944
593,1.237406,0.733322,2.229341,23.976944
594,1.235526,0.725794,2.215983,23.976944
595,1.233650,0.718343,2.202705,23.976944
596,1.231777,0.714197,2.202522,23.976944
597,1.231777,0.709688,2.203989,23.976944
598,1.225162,0.705208,2.195105,23.976944
599,1.218582,0.700756,2.184292,23.976944
600,1.212038,0.696331,2.173533,23.976944
601,1.205529,0.697103,2.167358,23.976944
602,1.199054,0.699211,2.163882,23.976944
603,1.192615,0.701325,2.162075,25.300783
604,1.186210,0.703446,2.160270,25.300783
605,1.179840,0.703811,2.158466,25.300783
606,1.173503,0.704177,2.155762,25.300783
607,1.167201,0.704542,2.153062,25.300783
608,1.160933,0.704908,2.151430,25.300783
609,1.154698,0.705274,2.149800,25.300783
610,1.148497,0.705640,2.148134,25.300783
611,1.142329,0.707254,2.146470,25.300783
612,1.136194,0.708872,2.145439,25.300783
613,1.130093,0.710493,2.144409,25.300783
614,1.124024,0.712118,2.143379,25.300783
615,1.117987,0.713747,2.142350,25.300783
616,1.111983,0.715380,2.141572,25.300783
617,1.106011,0.717016,2.140794,25.300783
618,1.100072,0.718656,2.140017,25.300783
619,1.100072,0.720300,2.139567,25.300783
620,1.099441,0.721947,2.140506,25.300783
621,1.098812,0.723598,2.141242,25.300783
622,1.098182,0.725253,2.141977,25.300783
623,1.097554,0.726547,2.142713,25.300783
624,1.096925,0.729317,2.143269,25.300783
625,1.096297,0.732098,2.144550,23.092794
626,1.095669,0.733597,2.145577,23.092794
627,1.095041,0.735099,2.145974,23.092794
628,1.094414,0.736604,2.146371,23.092794
629,1.093787,0.738113,2.145957,23.092794
630,1.093161,0.739624,2.148100,23.092794
631,1.092535,0.746190,2.150246,23.092794
632,1.091909,0.748714,2.154841,23.092794
633,1.091284,0.747221,2.161257,23.092794
634,1.090659,0.745730,2.165756,23.092794
635,1.090034,0.744242,2.170264,23.092794
636,1.089410,0.742758,2.174782,23.092794
637,1.088786,0.741276,2.179309,22.332567
638,1.088162,0.739797,2.183845,22.332567
639,1.087539,0.738322,2.188391,22.332567
640,1.086916,0.736849,2.192946,22.332567
641,1.086916,0.735379,2.194275,22.332567
642,1.080206,0.733912,2.195813,22.332567
643,1.073536,0.732448,2.195094,22.332567
644,1.066908,0.730987,2.194374,22.332567
645,1.060321,0.726962,2.193655,22.332567
646,1.053774,0.776287,2.191652,22.332567
647,1.047268,0.837510,2.222471,22.332567
648,1.040802,0.903562,2.261324,22.332567
649,1.034376,0.974823,2.300857,42.107306
650,1.027990,1.051705,2.341080,42.107306
