vl,universe,window,bar_idx,equity
8,Legacy5BNB,2,15,1.000000
8,Legacy5BNB,2,20,1.000000
8,Legacy5BNB,2,25,0.972612
8,Legacy5BNB,2,30,1.138065
8,Legacy5BNB,2,35,1.138065
8,Legacy5BNB,2,40,1.138065
8,Legacy5BNB,2,45,1.277990
8,Legacy5BNB,2,50,1.277990
8,Legacy5BNB,2,55,1.277990
8,Legacy5BNB,2,60,1.277990
8,Legacy5BNB,2,65,1.277990
8,Legacy5BNB,2,70,1.201684
8,Legacy5BNB,2,75,1.173114
8,Legacy5BNB,2,80,1.041043
8,Legacy5BNB,2,85,1.041043
8,Legacy5BNB,2,90,1.041043
8,Legacy5BNB,2,95,1.041043
8,Legacy5BNB,2,100,1.041043
8,Legacy5BNB,2,105,1.041043
8,Legacy5BNB,2,110,1.041043
8,Legacy5BNB,2,115,1.409888
8,Legacy5BNB,2,119,1.233941
8,Legacy5BNB,3,0,1.000000
8,Legacy5BNB,3,5,0.992395
8,Legacy5BNB,3,10,3.618634
8,Legacy5BNB,3,15,3.618634
8,Legacy5BNB,3,20,4.280760
8,Legacy5BNB,3,25,4.280760
8,Legacy5BNB,3,30,3.867748
8,Legacy5BNB,3,35,4.771161
8,Legacy5BNB,3,40,8.234406
8,Legacy5BNB,3,45,8.234406
8,Legacy5BNB,3,50,8.234406
8,Legacy5BNB,3,55,8.234406
8,Legacy5BNB,3,60,8.234406
8,Legacy5BNB,3,65,8.234406
8,Legacy5BNB,3,70,7.220811
8,Legacy5BNB,3,75,7.220811
8,Legacy5BNB,3,80,7.220811
8,Legacy5BNB,3,85,7.220811
8,Legacy5BNB,3,90,7.220811
8,Legacy5BNB,3,95,7.220811
8,Legacy5BNB,3,100,6.759866
8,Legacy5BNB,4,0,1.000000
8,Legacy5BNB,4,5,1.064632
8,Legacy5BNB,4,10,0.844868
8,Legacy5BNB,4,15,0.844868
8,Legacy5BNB,4,20,0.844868
8,Legacy5BNB,4,25,1.067917
8,Legacy5BNB,4,30,1.218423
8,Legacy5BNB,4,35,1.218423
8,Legacy5BNB,4,40,1.218423
8,Legacy5BNB,4,45,1.218423
8,Legacy5BNB,4,50,1.218423
8,Legacy5BNB,4,55,1.218423
8,Legacy5BNB,4,60,1.218423
8,Legacy5BNB,4,65,1.218423
8,Legacy5BNB,4,70,1.218423
8,Legacy5BNB,4,75,1.218423
8,Legacy5BNB,4,80,1.218423
8,Legacy5BNB,4,85,1.218423
8,Legacy5BNB,4,90,1.218423
8,Legacy5BNB,4,95,1.218423
8,Legacy5BNB,4,100,1.162473
8,Legacy5BNB,4,105,1.162473
8,Legacy5BNB,4,110,1.162473
8,Legacy5BNB,4,115,1.162473
8,Legacy5BNB,4,120,1.162473
8,Legacy5BNB,4,125,1.162473
8,Legacy5BNB,4,130,1.162473
8,Legacy5BNB,4,133,1.374965
8,Legacy5BNB,5,0,1.000000
8,Legacy5BNB,5,5,1.011683
8,Legacy5BNB,5,10,1.011683
8,Legacy5BNB,5,15,1.011683
8,Legacy5BNB,5,20,1.011683
8,Legacy5BNB,5,25,1.011683
8,Legacy5BNB,5,30,1.011683
8,Legacy5BNB,5,35,1.011683
8,Legacy5BNB,5,40,1.011683
8,Legacy5BNB,5,45,0.925593
8,Legacy5BNB,5,50,0.925593
8,Legacy5BNB,5,55,0.925593
8,Legacy5BNB,5,60,0.925593
8,Legacy5BNB,5,65,0.925593
8,Legacy5BNB,5,70,1.079869
8,Legacy5BNB,5,75,1.079869
8,Legacy5BNB,5,80,1.036657
8,Legacy5BNB,5,85,1.036657
8,Legacy5BNB,5,90,1.036657
8,Legacy5BNB,5,95,0.886777
8,Legacy5BNB,5,100,0.886777
8,Legacy5BNB,5,105,0.886777
8,Legacy5BNB,5,110,0.829400
8,Legacy5BNB,5,115,0.743158
8,Legacy5BNB,5,120,0.608687
8,Legacy5BNB,5,125,0.608687
8,Legacy5BNB,5,130,0.593850
8,OldGuardNoBNB,0,0,1.000000
8,OldGuardNoBNB,0,5,1.000000
8,OldGuardNoBNB,0,10,1.000000
8,OldGuardNoBNB,0,15,0.997686
8,OldGuardNoBNB,0,20,0.997686
8,OldGuardNoBNB,0,25,0.997686
8,OldGuardNoBNB,0,30,1.110870
8,OldGuardNoBNB,0,35,0.995873
8,OldGuardNoBNB,0,40,0.889213
8,OldGuardNoBNB,0,45,0.889213
8,OldGuardNoBNB,0,50,0.809876
8,OldGuardNoBNB,0,55,0.699899
8,OldGuardNoBNB,0,60,1.417597
8,OldGuardNoBNB,0,65,1.417597
8,OldGuardNoBNB,0,70,1.525281
8,OldGuardNoBNB,0,75,2.066886
