mult,universe,pases,avg_sharpe,return_pct,dd_pct,trades
2.25,Base5,6,22.9786,820.89,56.33,92
2.25,NoDOGE,3,4.9219,1276.84,64.45,92
2.25,Legacy4,5,4.1618,1061.29,61.81,120
2.25,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.25,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.25,LargeCaps5,3,4.9219,1276.84,64.45,92
2.25,Legacy3,5,3.2603,1033.47,61.81,123
2.25,LowVolume5,6,18.3043,2032.57,70.43,110
2.25,OldGuard4,4,-5.7770,134.53,61.81,110
2.30,Base5,6,22.9786,820.89,56.33,92
2.30,NoDOGE,3,4.9219,1276.84,64.45,92
2.30,Legacy4,5,4.1618,1061.29,61.81,120
2.30,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.30,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.30,LargeCaps5,3,4.9219,1276.84,64.45,92
2.30,Legacy3,5,3.2603,1033.47,61.81,123
2.30,LowVolume5,6,18.3043,2032.57,70.43,110
2.30,OldGuard4,4,-5.7770,134.53,61.81,110
2.35,Base5,6,22.9786,820.89,56.33,92
2.35,NoDOGE,3,4.9219,1276.84,64.45,92
2.35,Legacy4,5,4.1618,1061.29,61.81,120
2.35,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.35,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.35,LargeCaps5,3,4.9219,1276.84,64.45,92
2.35,Legacy3,5,3.2603,1033.47,61.81,123
2.35,LowVolume5,6,18.3043,2032.57,70.43,110
2.35,OldGuard4,4,-5.7770,134.53,61.81,110
2.40,Base5,6,22.9786,820.89,56.33,92
2.40,NoDOGE,3,4.9219,1276.84,64.45,92
2.40,Legacy4,5,4.1618,1061.29,61.81,120
2.40,Legacy5BNB,8,35.3021,2305.87,38.42,122
2.40,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.40,LargeCaps5,3,4.9219,1276.84,64.45,92
2.40,Legacy3,5,3.2603,1033.47,61.81,123
2.40,LowVolume5,6,18.0762,2030.94,70.43,110
2.40,OldGuard4,4,-5.7770,134.53,61.81,110
2.45,Base5,6,22.9786,820.89,56.33,92
2.45,NoDOGE,3,4.9219,1276.84,64.45,92
2.45,Legacy4,5,4.1618,1061.29,61.81,120
2.45,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.45,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.45,LargeCaps5,3,4.9219,1276.84,64.45,92
2.45,Legacy3,5,3.2603,1033.47,61.81,123
2.45,LowVolume5,6,18.3043,2032.57,70.43,110
2.45,OldGuard4,4,-5.7770,134.53,61.81,110
2.50,Base5,6,22.9786,820.89,56.33,92
2.50,NoDOGE,3,4.9219,1276.84,64.45,92
2.50,Legacy4,5,4.1618,1061.29,61.81,120
2.50,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.50,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.50,LargeCaps5,3,4.9219,1276.84,64.45,92
2.50,Legacy3,5,3.2603,1033.47,61.81,123
2.50,LowVolume5,6,18.3043,2032.57,70.43,110
2.50,OldGuard4,4,-5.7770,134.53,61.81,110
2.55,Base5,6,22.9786,820.89,56.33,92
2.55,NoDOGE,3,4.9219,1276.84,64.45,92
2.55,Legacy4,5,4.1618,1061.29,61.81,120
2.55,Legacy5BNB,8,35.6246,2308.38,38.42,122
2.55,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
2.55,LargeCaps5,3,4.9219,1276.84,64.45,92
2.55,Legacy3,5,3.2603,1033.47,61.81,123
2.55,LowVolume5,6,18.3043,2032.57,70.43,110
2.55,OldGuard4,4,-5.7770,134.53,61.81,110
2.60,Base5,6,22.9786,820.89,56.33,92
2.60,NoDOGE,3,4.9219,1276.84,64.45,92
