vl,universe,window,bar_idx,equity
1,OldGuardNoBNB,4,45,0.760376
1,OldGuardNoBNB,4,50,0.760376
1,OldGuardNoBNB,4,55,0.760376
1,OldGuardNoBNB,4,60,0.754597
1,OldGuardNoBNB,4,65,0.754597
1,OldGuardNoBNB,4,70,0.754597
1,OldGuardNoBNB,4,75,0.754597
1,OldGuardNoBNB,4,80,0.754597
1,OldGuardNoBNB,4,85,0.754597
1,OldGuardNoBNB,4,90,0.719946
1,OldGuardNoBNB,4,95,0.719946
1,OldGuardNoBNB,4,100,0.719946
1,OldGuardNoBNB,4,105,0.719946
1,OldGuardNoBNB,4,110,0.719946
1,OldGuardNoBNB,4,115,0.688758
1,OldGuardNoBNB,4,116,0.635096
1,OldGuardNoBNB,5,0,1.000000
1,OldGuardNoBNB,5,5,1.000000
1,OldGuardNoBNB,5,10,1.000000
1,OldGuardNoBNB,5,15,1.000000
1,OldGuardNoBNB,5,20,1.000000
1,OldGuardNoBNB,5,25,0.918501
1,OldGuardNoBNB,5,30,0.755866
1,OldGuardNoBNB,5,35,0.755866
1,OldGuardNoBNB,5,40,1.079050
1,OldGuardNoBNB,5,45,1.373742
1,OldGuardNoBNB,5,50,1.740914
1,OldGuardNoBNB,5,55,1.740914
1,OldGuardNoBNB,5,60,1.847055
1,OldGuardNoBNB,5,65,1.847055
1,OldGuardNoBNB,5,70,1.847055
1,OldGuardNoBNB,5,75,1.847055
1,OldGuardNoBNB,5,80,1.580007
1,OldGuardNoBNB,5,85,1.580007
1,OldGuardNoBNB,5,90,1.580007
1,OldGuardNoBNB,5,95,1.580007
1,OldGuardNoBNB,5,100,1.477777
1,OldGuardNoBNB,5,105,1.477777
1,OldGuardNoBNB,5,110,1.402024
1,OldGuardNoBNB,5,115,1.402024
1,OldGuardNoBNB,5,120,1.402024
1,OldGuardNoBNB,5,125,1.402024
1,OldGuardNoBNB,5,130,1.402024
1,OldGuardNoBNB,5,133,1.367849
1,LargeCaps5,0,0,1.000000
