slip_bps,bar,equity_mean,equity_min,equity_max
100,59,1.200693,0.201492,3.941158
100,60,1.219692,0.201492,3.941158
100,61,1.225971,0.201492,3.616511
100,62,1.194127,0.201492,3.342491
100,63,1.220688,0.201492,3.342491
100,64,1.255326,0.201492,4.234560
100,65,1.257612,0.201492,4.135025
100,66,1.283738,0.201492,4.135025
100,67,1.280013,0.201492,4.135025
100,68,1.274979,0.201492,4.135025
100,69,1.277127,0.201492,4.135025
100,70,1.283574,0.201492,4.135025
100,71,1.272485,0.187431,4.135025
100,72,1.336816,0.187431,4.135025
100,73,1.342737,0.187431,4.135025
100,74,1.381736,0.187431,4.135025
100,75,1.410439,0.200567,4.135025
100,76,1.405623,0.243241,4.135025
100,77,1.421766,0.252488,4.135025
