step,cap_1,cap_2,cap_3,cap_4,cap_5,cap_6,cap_7,cap_8,cap_9,cap_10
148,3.611860,6.345958,14.345371,21.009706,22.322063,54.270858,54.270858,54.270858,54.270858,54.270858
149,3.611860,6.345958,14.345371,21.009706,22.322063,63.868867,63.868867,63.868867,63.868867,63.868867
150,3.611860,5.931839,14.345371,21.009706,22.322063,64.458478,64.458478,64.458478,64.458478,64.458478
151,3.611860,5.931839,14.345371,21.009706,22.322063,53.386349,53.386349,53.386349,53.386349,53.386349
152,3.611860,5.931839,14.345371,21.009706,22.322063,51.573340,51.573340,51.573340,51.573340,51.573340
153,3.611860,5.931839,14.345371,21.009706,22.322063,47.533033,47.533033,47.533033,47.533033,47.533033
154,3.611860,5.931839,14.345371,21.009706,22.322063,40.375145,40.375145,40.375145,40.375145,40.375145
155,3.611860,5.931839,13.093456,21.009706,22.322063,59.755330,59.755330,59.755330,59.755330,59.755330
156,3.611860,5.931839,12.103512,21.009706,22.322063,37.920140,37.920140,37.920140,37.920140,37.920140
157,3.611860,5.931839,12.103512,21.009706,22.322063,37.920140,37.920140,37.920140,37.920140,37.920140
158,3.611860,5.931839,76.844739,21.009706,22.322063,37.920140,37.920140,37.920140,37.920140,37.920140
159,3.611860,5.931839,76.844739,21.009706,22.322063,57.350889,57.350889,57.350889,57.350889,57.350889
160,3.611860,5.931839,76.844739,21.009706,22.322063,48.441884,48.441884,48.441884,48.441884,48.441884
161,3.611860,5.931839,76.844739,21.009706,22.322063,48.441884,48.441884,48.441884,48.441884,48.441884
162,3.611860,5.931839,76.844739,23.565373,22.322063,48.441884,48.441884,48.441884,48.441884,48.441884
163,3.611860,5.931839,76.844739,23.565373,22.322063,40.995581,40.995581,40.995581,40.995581,40.995581
164,3.611860,5.931839,76.844739,23.565373,22.322063,40.995581,40.995581,40.995581,40.995581,40.995581
165,3.611860,5.931839,76.844739,23.565373,22.322063,40.995581,40.995581,40.995581,40.995581,40.995581
166,3.611860,5.931839,76.844739,23.565373,22.322063,40.995581,40.995581,40.995581,40.995581,40.995581
167,3.611860,5.931839,76.844739,23.565373,22.322063,40.995581,40.995581,40.995581,40.995581,40.995581
168,3.376160,11.791146,76.844739,23.565373,22.322063,40.995581,40.995581,40.995581,40.995581,40.995581
169,3.376160,11.791146,76.844739,23.565373,22.322063,40.995581,40.995581,40.995581,40.995581,40.995581
170,3.376160,11.791146,76.844739,23.565373,22.322063,38.455437,38.455437,38.455437,38.455437,38.455437
171,3.376160,11.791146,76.844739,24.766038,22.322063,38.455437,38.455437,38.455437,38.455437,38.455437
172,3.376160,13.016125,89.427626,23.392567,35.384604,38.455437,38.455437,38.455437,38.455437,38.455437
