universe,window,threshold,return_pct,sharpe,max_dd_pct,trades,win_rate,pass
Legacy5BNB,2,40,-3.2802,-6.993635,3.2802,50,0.00,0
Legacy5BNB,2,50,-2.2424,-5.710088,2.2424,34,0.00,0
Legacy5BNB,2,60,-1.5882,-4.476910,1.5882,24,0.00,0
Legacy5BNB,2,70,-1.4569,-4.187644,1.4569,22,0.00,0
Legacy5BNB,3,0,40102.2064,9.634595,36.5635,61,18.03,1
Legacy5BNB,3,20,40102.2064,9.634595,36.5635,61,18.03,1
Legacy5BNB,3,30,40102.2064,9.634595,36.5635,61,18.03,1
Legacy5BNB,3,40,36500.8735,9.476871,36.5635,59,16.95,1
Legacy5BNB,3,50,35532.4784,9.488997,36.5635,56,16.07,1
Legacy5BNB,3,60,12572.0901,8.564477,36.5635,44,18.18,1
Legacy5BNB,3,70,2600.3742,6.116540,36.5635,36,16.67,1
Legacy5BNB,4,0,18.9527,2.250222,6.3927,80,1.25,1
Legacy5BNB,4,20,28.2287,3.222549,6.0427,32,0.00,1
Legacy5BNB,4,30,36.4517,4.473908,1.2357,7,0.00,1
Legacy5BNB,4,40,-0.3994,-2.582063,0.3994,6,0.00,0
Legacy5BNB,4,50,-0.1999,-2.101267,0.1999,3,0.00,0
Legacy5BNB,4,60,0.0000,0.000000,0.0000,0,0.00,0
Legacy5BNB,4,70,0.0000,0.000000,0.0000,0,0.00,0
Legacy5BNB,5,0,-5.5749,-10.012180,5.5749,86,0.00,0
Legacy5BNB,5,20,-1.8501,-6.283370,1.8501,28,0.00,0
Legacy5BNB,5,30,-1.7191,-6.000517,1.7191,26,0.00,0
Legacy5BNB,5,40,-1.4565,-5.408489,1.4565,22,0.00,0
Legacy5BNB,5,50,-0.8632,-4.465069,0.8632,13,0.00,0
Legacy5BNB,5,60,-0.4657,-3.235938,0.4657,7,0.00,0
Legacy5BNB,5,70,-0.3329,-2.723728,0.3329,5,0.00,0
OldGuardNoBNB,0,0,93.3229,3.698193,5.8470,121,1.65,1
OldGuardNoBNB,0,20,97.8736,3.819172,4.2638,86,2.33,1
OldGuardNoBNB,0,30,63.7935,3.444055,2.8920,77,1.30,1
OldGuardNoBNB,0,40,64.8897,3.490449,2.3073,67,1.49,1
OldGuardNoBNB,0,50,66.0761,3.536999,1.9809,56,1.79,1
OldGuardNoBNB,0,60,66.4871,3.551008,1.9155,52,1.92,1
OldGuardNoBNB,0,70,-2.7624,-7.100393,2.7624,42,0.00,0
OldGuardNoBNB,1,0,1.9727,0.241033,22.6127,101,1.98,1
OldGuardNoBNB,1,20,5.2907,0.431220,20.0947,53,3.77,1
OldGuardNoBNB,1,30,5.5015,0.443110,19.9347,50,4.00,1
OldGuardNoBNB,1,40,6.2784,0.486727,19.3451,39,5.13,1
OldGuardNoBNB,1,50,6.4912,0.498622,19.1836,36,5.56,1
OldGuardNoBNB,1,60,-11.2979,-0.538337,25.4070,24,4.17,0
OldGuardNoBNB,1,70,-17.0507,-1.469189,18.0984,5,0.00,0
OldGuardNoBNB,2,0,-9.5948,-5.917208,9.5948,114,0.00,0
OldGuardNoBNB,2,20,-6.7154,-4.115975,6.7154,67,0.00,0
OldGuardNoBNB,2,30,-4.8709,-6.820719,4.8709,65,0.00,0
OldGuardNoBNB,2,40,-3.2803,-6.722631,3.2803,50,0.00,0
OldGuardNoBNB,2,50,-2.2425,-5.401988,2.2425,34,0.00,0
OldGuardNoBNB,2,60,-1.7195,-4.459717,1.7195,26,0.00,0
OldGuardNoBNB,2,70,-1.5227,-4.047066,1.5227,23,0.00,0
OldGuardNoBNB,3,0,16318.8623,9.823979,36.5635,69,15.94,1
OldGuardNoBNB,3,20,16318.8623,9.823979,36.5635,69,15.94,1
OldGuardNoBNB,3,30,14269.3775,9.576754,36.5635,69,14.49,1
