chand_mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
2.15,LowVolume5,5,21.67,3.6853,26.43,9,44.44,true
2.15,OldGuard4,0,81.38,5.3363,34.80,14,50.00,true
2.15,OldGuard4,1,14.41,3.3828,26.40,9,66.67,true
2.15,OldGuard4,2,176.00,8.6985,16.38,9,66.67,true
2.15,OldGuard4,3,163.50,11.0716,28.41,9,66.67,true
2.15,OldGuard4,4,75.15,8.8972,16.93,8,75.00,true
2.15,OldGuard4,5,12.16,2.7034,32.17,10,40.00,true
2.00,Base5,0,9.18,3.7001,69.14,12,41.67,true
2.00,Base5,1,132.18,5.8500,32.32,11,45.45,true
2.00,Base5,2,201.17,8.9118,35.07,12,50.00,true
2.00,Base5,3,29.88,3.4894,34.41,15,46.67,true
2.00,Base5,4,70.56,11.4487,20.66,8,62.50,true
2.00,Base5,5,44.89,5.0723,22.95,9,33.33,true
2.00,NoDOGE,0,9.18,3.7001,69.14,12,41.67,true
2.00,NoDOGE,1,-10.12,-1.5982,24.45,7,57.14,false
2.00,NoDOGE,2,392.56,12.2778,16.38,10,50.00,true
2.00,NoDOGE,3,116.41,6.4137,34.41,15,53.33,true
2.00,NoDOGE,4,88.09,15.9429,12.51,7,71.43,true
2.00,NoDOGE,5,-19.61,-3.7335,26.80,8,25.00,false
2.00,Legacy4,0,36.12,3.7727,30.71,13,46.15,true
2.00,Legacy4,1,36.09,6.4012,21.29,9,55.56,true
2.00,Legacy4,2,201.71,9.8293,16.38,9,66.67,true
2.00,Legacy4,3,69.16,6.0101,28.41,11,54.55,true
2.00,Legacy4,4,31.73,9.7257,16.15,5,80.00,true
2.00,Legacy4,5,44.36,9.9343,11.17,6,50.00,true
2.00,Legacy5BNB,0,164.33,7.4858,26.85,15,60.00,true
2.00,Legacy5BNB,1,-14.30,-1.3110,22.58,9,44.44,false
2.00,Legacy5BNB,2,232.09,9.0282,16.38,10,60.00,true
2.00,Legacy5BNB,3,167.69,9.2286,28.41,10,50.00,true
2.00,Legacy5BNB,4,50.46,10.9252,16.15,6,66.67,true
2.00,Legacy5BNB,5,23.89,8.1202,7.81,5,40.00,true
2.00,OldGuardNoBNB,0,12.88,2.2334,36.44,14,42.86,true
2.00,OldGuardNoBNB,1,-21.81,-2.3330,41.29,9,55.56,false
2.00,OldGuardNoBNB,2,219.61,10.2431,16.38,9,77.78,true
2.00,OldGuardNoBNB,3,69.16,6.0101,28.41,11,54.55,true
2.00,OldGuardNoBNB,4,31.73,9.7257,16.15,5,80.00,true
2.00,OldGuardNoBNB,5,147.40,15.1801,11.17,8,62.50,true
2.00,LargeCaps5,0,65.64,5.0740,69.14,13,46.15,true
2.00,LargeCaps5,1,-10.12,-1.5982,24.45,7,57.14,false
2.00,LargeCaps5,2,511.28,12.3023,16.38,10,50.00,true
2.00,LargeCaps5,3,42.49,4.3472,34.41,13,46.15,true
2.00,LargeCaps5,4,117.05,17.6790,13.66,7,71.43,true
2.00,LargeCaps5,5,-19.61,-3.7335,26.80,8,25.00,false
2.00,Legacy3,0,67.23,4.9433,28.23,14,50.00,true
2.00,Legacy3,1,28.21,5.2793,21.29,9,55.56,true
2.00,Legacy3,2,207.44,11.2854,16.38,7,71.43,true
2.00,Legacy3,3,163.50,11.0716,28.41,9,66.67,true
2.00,Legacy3,4,-2.45,0.8158,16.93,8,62.50,false
2.00,Legacy3,5,10.42,3.8000,11.17,6,33.33,true
2.00,LowVolume5,0,26.90,2.6493,29.03,16,56.25,true
2.00,LowVolume5,1,-46.37,-5.7188,50.74,12,25.00,false
2.00,LowVolume5,2,545.04,12.7465,16.38,11,72.73,true
2.00,LowVolume5,3,-32.88,-0.0435,71.22,13,46.15,false
2.00,LowVolume5,4,-17.33,-0.5020,33.06,10,40.00,false
2.00,LowVolume5,5,28.43,4.3167,25.84,9,44.44,true
2.00,OldGuard4,0,82.99,5.4494,34.80,14,50.00,true
2.00,OldGuard4,1,16.98,3.8281,26.40,9,66.67,true
2.00,OldGuard4,2,164.40,8.5792,16.38,9,66.67,true
2.00,OldGuard4,3,163.50,11.0716,28.41,9,66.67,true
2.00,OldGuard4,4,75.61,9.0048,16.93,8,75.00,true
2.00,OldGuard4,5,18.40,3.2536,31.63,10,40.00,true
