cp,universe,window,bar,equity
3,NoDOGE,0,34,1.048646
3,NoDOGE,0,35,1.048646
3,NoDOGE,0,36,1.048646
3,NoDOGE,0,37,1.048646
3,NoDOGE,0,38,1.048646
3,NoDOGE,0,39,1.048646
3,NoDOGE,0,40,1.048646
3,NoDOGE,0,41,1.048646
3,NoDOGE,0,42,1.048646
3,NoDOGE,0,43,1.048646
3,NoDOGE,0,44,1.058449
3,NoDOGE,0,45,1.058449
3,NoDOGE,0,46,1.067790
3,NoDOGE,0,47,1.067790
3,NoDOGE,0,48,1.067790
3,NoDOGE,0,49,1.067790
3,NoDOGE,0,50,1.067790
3,NoDOGE,0,51,1.067790
3,NoDOGE,0,52,1.073958
3,NoDOGE,0,53,1.073958
3,NoDOGE,0,54,1.073958
3,NoDOGE,0,55,1.073958
3,NoDOGE,0,56,1.073958
3,NoDOGE,0,57,1.073958
3,NoDOGE,0,58,1.073958
3,NoDOGE,0,59,1.080139
3,NoDOGE,0,60,1.080139
3,NoDOGE,0,61,1.080139
3,NoDOGE,0,62,1.080139
3,NoDOGE,0,63,1.080139
3,NoDOGE,0,64,1.080139
3,NoDOGE,0,65,1.080139
3,NoDOGE,0,66,1.080139
3,NoDOGE,0,67,1.074611
3,NoDOGE,0,68,1.074611
3,NoDOGE,0,69,1.074611
3,NoDOGE,0,70,1.074611
3,NoDOGE,0,71,1.074611
3,NoDOGE,0,72,1.074611
3,NoDOGE,0,73,1.074611
3,NoDOGE,0,74,1.074611
3,NoDOGE,0,75,1.074611
3,NoDOGE,0,76,1.074611
3,NoDOGE,0,77,1.074611
3,NoDOGE,0,78,1.074611
3,NoDOGE,0,79,1.074611
3,NoDOGE,0,80,1.074611
3,NoDOGE,0,81,1.074611
3,NoDOGE,0,82,1.074611
3,NoDOGE,0,83,1.074611
3,NoDOGE,0,84,1.074611
3,NoDOGE,0,85,1.074611
3,NoDOGE,0,86,1.074638
3,NoDOGE,0,87,1.074638
3,NoDOGE,0,88,1.074638
3,NoDOGE,0,89,1.074638
3,NoDOGE,0,90,1.074638
3,NoDOGE,0,91,1.074638
3,NoDOGE,0,92,1.074638
3,NoDOGE,0,93,1.074638
3,NoDOGE,0,94,1.074638
3,NoDOGE,0,95,1.074638
3,NoDOGE,0,96,1.074638
3,NoDOGE,0,97,1.074638
3,NoDOGE,0,98,1.074638
3,NoDOGE,0,99,1.074638
3,NoDOGE,0,100,1.074638
3,NoDOGE,0,101,1.074638
3,NoDOGE,0,102,1.074638
3,NoDOGE,0,103,1.074638
3,NoDOGE,0,104,1.074638
3,NoDOGE,0,105,1.074638
3,NoDOGE,0,106,1.074638
3,NoDOGE,0,107,1.074638
3,NoDOGE,0,108,1.074638
3,NoDOGE,0,109,1.074638
3,NoDOGE,0,110,1.074638
3,NoDOGE,0,111,1.074638
3,NoDOGE,0,112,1.074638
3,NoDOGE,0,113,1.074638
3,NoDOGE,0,114,1.074638
3,NoDOGE,0,115,1.074638
3,NoDOGE,0,116,1.074638
3,NoDOGE,0,117,1.074638
3,NoDOGE,0,118,1.074638
3,NoDOGE,0,119,1.074638
3,NoDOGE,0,120,1.074638
3,NoDOGE,1,0,1.000000
3,NoDOGE,1,0,1.000000
3,NoDOGE,1,1,1.000000
3,NoDOGE,1,2,1.000000
3,NoDOGE,1,3,1.000000
3,NoDOGE,1,4,1.000000
3,NoDOGE,1,5,1.000000
3,NoDOGE,1,6,1.000000
3,NoDOGE,1,7,0.984687
3,NoDOGE,1,8,0.984687
3,NoDOGE,1,9,0.984687
3,NoDOGE,1,10,0.984687
3,NoDOGE,1,11,0.984687
3,NoDOGE,1,12,0.984687
3,NoDOGE,1,13,0.984687
3,NoDOGE,1,14,0.984687
3,NoDOGE,1,15,0.984687
3,NoDOGE,1,16,0.984687
3,NoDOGE,1,17,1.010014
3,NoDOGE,1,18,1.010014
3,NoDOGE,1,19,1.010014
3,NoDOGE,1,20,1.010014
3,NoDOGE,1,21,1.010014
3,NoDOGE,1,22,1.010014
3,NoDOGE,1,23,1.010014
3,NoDOGE,1,24,1.010014
3,NoDOGE,1,25,1.010014
3,NoDOGE,1,26,1.010014
3,NoDOGE,1,27,1.010014
