universe,window,strategy,symbol,return_pct,sharpe,max_dd,trades,win_rate,pass
NoDOGE,W38,SHORT,BTC,33.9462,1.8126,11.3216,5,0.4000,PASS
NoDOGE,W38,LONG_SKIP_CRISIS,BTC,174.4672,6.3117,29.4658,14,0.5714,PASS
NoDOGE,W39,SHORT,BTC,26.3273,1.4633,16.3656,6,0.3333,PASS
NoDOGE,W39,LONG_SKIP_CRISIS,BTC,86.7707,4.4848,29.4658,11,0.5455,PASS
NoDOGE,W40,SHORT,BTC,14.4740,0.8900,24.2131,6,0.3333,PASS
NoDOGE,W40,LONG_SKIP_CRISIS,BTC,105.1581,7.1081,29.4658,9,0.5556,PASS
NoDOGE,W41,SHORT,BTC,14.4740,0.8900,24.2131,6,0.3333,PASS
NoDOGE,W41,LONG_SKIP_CRISIS,BTC,82.6405,6.6279,29.4658,9,0.5556,PASS
NoDOGE,W42,SHORT,BTC,14.7778,0.9050,24.2131,7,0.4286,PASS
NoDOGE,W42,LONG_SKIP_CRISIS,BTC,63.1564,5.3608,29.4658,9,0.4444,PASS
NoDOGE,W43,SHORT,BTC,46.3588,2.2358,24.2131,8,0.5000,PASS
NoDOGE,W43,LONG_SKIP_CRISIS,BTC,21.7859,1.8982,37.4559,11,0.2727,PASS
NoDOGE,W44,SHORT,BTC,76.4039,3.2786,24.2131,7,0.5714,PASS
NoDOGE,W44,LONG_SKIP_CRISIS,BTC,46.0695,4.3135,20.0316,9,0.3333,PASS
NoDOGE,W45,SHORT,BTC,34.0275,4.4324,18.3798,4,0.5000,PASS
NoDOGE,W45,LONG_SKIP_CRISIS,BTC,33.8784,3.0701,31.0457,10,0.3000,PASS
NoDOGE,W46,SHORT,BTC,23.8866,3.3394,18.3798,5,0.6000,PASS
NoDOGE,W46,LONG_SKIP_CRISIS,BTC,37.7152,2.9841,30.3865,10,0.4000,PASS
NoDOGE,W47,SHORT,BTC,15.0992,2.0789,22.2166,7,0.5714,PASS
NoDOGE,W47,LONG_SKIP_CRISIS,BTC,44.4801,3.0926,30.3865,12,0.4167,PASS
NoDOGE,W48,SHORT,BTC,13.3749,1.8342,14.5374,6,0.5000,PASS
NoDOGE,W48,LONG_SKIP_CRISIS,BTC,50.7914,3.4415,30.3865,12,0.5000,PASS
NoDOGE,W49,SHORT,BTC,14.9538,2.0303,14.5374,7,0.5714,PASS
NoDOGE,W49,LONG_SKIP_CRISIS,BTC,10.2900,0.9126,30.3865,13,0.4615,PASS
NoDOGE,W50,SHORT,BTC,49.4126,5.2108,14.5374,7,0.5714,PASS
NoDOGE,W50,LONG_SKIP_CRISIS,BTC,0.4512,0.1370,30.3865,14,0.3571,PASS
NoDOGE,W51,SHORT,BTC,47.5625,4.2410,14.2440,7,0.5714,PASS
NoDOGE,W51,LONG_SKIP_CRISIS,BTC,-8.5052,-0.6969,30.3865,13,0.4615,FAIL
NoDOGE,W52,SHORT,BTC,136.3662,5.5963,12.7622,8,0.7500,PASS
NoDOGE,W52,LONG_SKIP_CRISIS,BTC,-42.4960,-5.2834,42.4960,14,0.2857,FAIL
NoDOGE,W53,SHORT,BTC,129.9586,5.4580,12.7622,8,0.7500,PASS
NoDOGE,W53,LONG_SKIP_CRISIS,BTC,-43.5310,-5.3171,43.5310,13,0.3077,FAIL
NoDOGE,W54,SHORT,BTC,76.4936,3.8030,12.7622,8,0.6250,PASS
