step,ep_10,ep_21,ep_30,ep_35,ep_44
258,23.471601,15.287540,12.812359,20.235193,19.142921
259,23.471601,15.287540,12.812359,20.235193,19.142921
260,23.471601,15.287540,12.812359,20.235193,19.142921
261,20.836497,15.287540,12.812359,20.235193,19.142921
262,20.836497,15.287540,13.265839,20.235193,19.142921
263,20.836497,15.287540,13.265839,20.235193,19.142921
264,20.836497,15.287540,13.265839,20.235193,19.142921
265,22.801180,15.287540,13.265839,20.235193,19.142921
266,22.354568,15.287540,13.265839,20.235193,19.142921
267,22.354568,15.287540,13.265839,20.235193,19.142921
268,22.354568,15.287540,13.265839,20.235193,19.142921
269,22.354568,14.898606,13.265839,20.235193,19.142921
270,22.354568,14.898606,13.265839,20.235193,19.142921
271,22.354568,14.898606,13.265839,20.391065,19.142921
272,22.354568,15.818440,13.265839,20.907246,19.142921
273,22.354568,13.816852,13.265839,20.907246,19.142921
274,22.354568,13.816852,13.265839,20.907246,19.142921
275,22.354568,13.816852,13.265839,20.907246,19.142921
276,22.354568,13.816852,13.265839,20.907246,19.142921
277,19.911805,13.816852,13.265839,21.647235,19.142921
278,19.911805,13.816852,13.265839,21.647235,19.142921
279,19.911805,13.816852,12.154991,21.647235,19.290379
280,19.911805,13.816852,12.154991,21.647235,19.778697
281,19.911805,12.900429,12.154991,21.647235,19.778697
282,19.911805,10.989254,13.758191,21.647235,19.778697
283,19.911805,10.989254,13.758191,21.647235,19.778697
284,19.911805,10.989254,13.758191,21.647235,19.778697
285,19.911805,10.989254,13.758191,21.647235,20.478743
286,19.911805,10.989254,13.758191,21.647235,20.478743
287,19.911805,10.989254,13.758191,21.647235,20.478743
288,25.101196,10.989254,13.758191,21.647235,20.478743
289,25.358044,10.989254,13.758191,21.647235,20.478743
290,25.358044,10.989254,13.758191,21.647235,20.478743
291,25.358044,10.989254,13.758191,21.647235,20.478743
292,25.358044,10.989254,13.758191,21.647235,20.478743
293,25.358044,10.989254,13.758191,21.647235,20.478743
294,25.358044,10.989254,13.758191,19.834551,20.478743
295,25.358044,10.989254,13.758191,19.834551,20.478743
296,25.358044,10.989254,13.758191,19.834551,20.478743
297,25.358044,10.989254,13.758191,22.450657,20.478743
298,23.073782,10.989254,13.758191,22.450657,20.478743
299,23.073782,10.989254,13.758191,22.450657,20.478743
300,23.073782,10.989254,13.758191,22.450657,20.478743
301,23.073782,10.989254,13.758191,22.450657,20.478743
302,23.073782,10.989254,13.758191,22.450657,20.478743
303,23.073782,10.989254,13.758191,22.450657,20.478743
304,23.073782,14.059482,13.758191,22.450657,20.478743
305,23.073782,14.059482,13.758191,22.450657,20.478743
306,23.073782,12.488745,13.758191,22.450657,23.179815
307,23.073782,12.455915,13.758191,22.450657,23.179815
308,23.073782,12.455915,13.758191,22.450657,23.179815
309,23.073782,12.403484,13.758191,22.450657,23.179815
310,23.073782,13.978821,13.758191,22.450657,23.179815
311,19.706191,13.978821,13.758191,22.450657,23.179815
312,19.706191,13.978821,13.758191,22.450657,23.179815
313,19.706191,13.978821,13.758191,22.450657,23.179815
314,19.706191,13.978821,13.758191,22.450657,23.179815
315,19.706191,13.978821,13.758191,22.450657,23.179815
316,19.706191,13.978821,14.607616,22.450657,23.179815
317,19.706191,13.978821,12.759240,22.450657,23.179815
318,19.706191,13.978821,12.759240,22.450657,23.179815
319,19.706191,11.214813,12.759240,22.450657,23.179815
320,19.706191,11.214813,12.759240,22.450657,23.179815
321,22.915820,11.214813,12.759240,22.450657,23.179815
322,22.915820,11.214813,12.759240,22.450657,23.179815
323,22.915820,11.214813,12.759240,22.450657,23.179815
324,22.915820,11.214813,12.759240,22.450657,23.179815
325,22.915820,11.214813,11.912964,22.450657,23.179815
326,22.915820,11.214813,10.148080,22.450657,23.179815
327,22.915820,11.214813,10.148080,22.450657,23.179815
328,22.915820,11.214813,10.148080,22.450657,23.179815
329,22.915820,11.214813,10.148080,22.450657,23.179815
330,22.915820,11.214813,10.148080,22.450657,23.179815
331,25.471839,11.214813,10.148080,23.836751,23.179815
332,25.471839,11.214813,10.148080,20.820566,23.179815
333,25.471839,11.214813,10.148080,20.820566,23.179815
334,25.471839,11.214813,10.148080,20.820566,23.179815
335,25.471839,11.214813,10.148080,20.820566,23.179815
336,25.471839,11.214813,10.148080,20.820566,23.179815
337,25.471839,11.214813,10.148080,20.820566,23.179815
338,25.471839,11.214813,10.148080,20.820566,23.179815
339,25.471839,11.214813,10.148080,20.820566,23.179815
340,25.471839,11.214813,10.148080,19.439610,23.179815
341,25.471839,11.214813,10.148080,16.559668,23.179815
342,23.104457,11.214813,10.148080,16.559668,23.179815
343,24.119909,11.214813,10.148080,16.559668,23.179815
344,23.669772,11.214813,10.148080,16.559668,23.179815
345,23.669772,11.214813,10.148080,16.559668,23.179815
346,23.669772,11.214813,10.148080,16.559668,26.623585
347,23.669772,10.677633,10.148080,16.559668,26.309330
348,24.604475,10.677633,12.983298,16.559668,26.309330
349,24.604475,17.698742,12.983298,16.559668,26.309330
350,24.604475,20.952157,11.532792,16.559668,26.309330
351,24.604475,31.139793,11.502476,16.559668,26.309330
352,24.604475,31.139793,11.502476,16.559668,26.309330
353,30.419671,31.139793,11.454058,16.559668,26.309330
354,30.419671,31.139793,12.908810,16.559668,26.309330
355,30.419671,31.139793,12.908810,16.559668,26.309330
356,30.419671,31.139793,12.908810,16.559668,26.309330
357,30.419671,31.139793,12.908810,16.559668,26.309330
358,30.419671,31.139793,12.908810,16.559668,26.309330
359,30.419671,35.986969,12.908810,16.559668,27.512152
360,30.419671,35.986969,12.908810,16.559668,28.610339
361,30.419671,35.986969,12.908810,16.559668,28.610339
362,30.419671,37.872481,12.908810,16.559668,28.610339
363,30.419671,37.872481,10.356374,21.186184,28.610339
364,30.419671,37.872481,10.356374,21.186184,28.610339
365,27.886787,37.872481,10.356374,18.819245,28.610339
366,27.886787,37.872481,10.356374,18.769774,28.610339
367,27.886787,37.872481,10.356374,18.769774,28.610339
368,27.886787,37.872481,10.356374,18.690766,28.610339
369,27.886787,37.872481,10.356374,21.064635,28.610339
370,27.886787,37.872481,10.356374,21.064635,28.610339
371,27.886787,35.453606,10.356374,21.064635,36.603627
372,27.886787,35.453606,10.356374,21.064635,36.603627
373,27.886787,35.453606,10.356374,21.064635,32.514237
374,32.857909,35.453606,10.356374,21.064635,32.428767
375,31.149632,35.453606,10.356374,21.064635,32.428767
376,31.149632,35.453606,10.356374,21.064635,32.292264
377,31.149632,35.453606,10.356374,21.064635,36.393626
378,31.149632,35.453606,10.356374,16.899562,36.393626
379,30.887126,35.453606,10.356374,16.899562,36.393626
380,29.761150,35.453606,10.356374,16.899562,36.393626
381,29.761150,40.274129,10.356374,16.899562,36.393626
382,29.761150,40.274129,10.356374,16.899562,36.393626
383,29.761150,40.274129,10.356374,16.899562,36.393626
384,29.761150,43.158344,10.356374,16.899562,36.393626
385,35.318057,43.158344,10.356374,16.899562,36.393626
386,35.318057,43.158344,10.356374,16.899562,29.197579
387,35.318057,43.158344,10.356374,16.899562,29.197579
388,28.094762,63.357355,10.356374,16.899562,29.197579
389,28.094762,54.173771,10.356374,16.899562,29.197579
