hm,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass,equity_final
12,Base5,5,6.60,1.3846,17.55,20,45.00,true,1.066033
15,Base5,5,42.21,4.3732,19.19,19,47.37,true,1.422085
18,Base5,5,31.63,3.5763,16.98,18,50.00,true,1.316286
20,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.271365
22,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.271365
25,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.271365
30,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.271365
35,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.271365
40,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.271365
45,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.271365
50,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.271365
60,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.271365
75,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.271365
90,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.271365
120,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.271365
180,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.271365
5,NoDOGE,0,312.38,7.5998,17.67,25,52.00,true,4.123770
8,NoDOGE,0,437.01,10.4313,26.77,21,57.14,true,5.370060
10,NoDOGE,0,672.43,13.2261,17.80,20,55.00,true,7.724277
12,NoDOGE,0,567.57,12.0301,17.80,19,57.89,true,6.675680
15,NoDOGE,0,536.55,14.2641,17.80,19,57.89,true,6.365451
18,NoDOGE,0,631.84,14.4393,17.80,18,55.56,true,7.318401
20,NoDOGE,0,646.44,14.4585,17.80,18,55.56,true,7.464414
22,NoDOGE,0,601.02,13.8740,17.80,18,55.56,true,7.010152
25,NoDOGE,0,601.02,13.8740,17.80,18,55.56,true,7.010152
30,NoDOGE,0,601.02,13.8740,17.80,18,55.56,true,7.010152
35,NoDOGE,0,601.02,13.8740,17.80,18,55.56,true,7.010152
40,NoDOGE,0,601.02,13.8740,17.80,18,55.56,true,7.010152
45,NoDOGE,0,601.02,13.8740,17.80,18,55.56,true,7.010152
50,NoDOGE,0,601.02,13.8740,17.80,18,55.56,true,7.010152
60,NoDOGE,0,601.02,13.8740,17.80,18,55.56,true,7.010152
75,NoDOGE,0,601.02,13.8740,17.80,18,55.56,true,7.010152
90,NoDOGE,0,601.02,13.8740,17.80,18,55.56,true,7.010152
120,NoDOGE,0,601.02,13.8740,17.80,18,55.56,true,7.010152
180,NoDOGE,0,601.02,13.8740,17.80,18,55.56,true,7.010152
5,NoDOGE,1,96.26,8.5532,9.65,16,68.75,true,1.962557
8,NoDOGE,1,37.72,4.4086,19.07,13,53.85,true,1.377169
10,NoDOGE,1,66.33,8.5300,9.04,12,66.67,true,1.663315
12,NoDOGE,1,58.67,7.7526,9.04,12,66.67,true,1.586722
15,NoDOGE,1,57.76,7.7197,9.04,11,72.73,true,1.577598
18,NoDOGE,1,57.76,7.7197,9.04,11,72.73,true,1.577598
20,NoDOGE,1,57.76,7.7197,9.04,11,72.73,true,1.577598
22,NoDOGE,1,57.76,7.7197,9.04,11,72.73,true,1.577598
25,NoDOGE,1,57.76,7.7197,9.04,11,72.73,true,1.577598
30,NoDOGE,1,57.76,7.7197,9.04,11,72.73,true,1.577598
35,NoDOGE,1,57.76,7.7197,9.04,11,72.73,true,1.577598
40,NoDOGE,1,57.76,7.7197,9.04,11,72.73,true,1.577598
45,NoDOGE,1,57.76,7.7197,9.04,11,72.73,true,1.577598
50,NoDOGE,1,57.76,7.7197,9.04,11,72.73,true,1.577598
60,NoDOGE,1,57.76,7.7197,9.04,11,72.73,true,1.577598
