universe,window,threshold,return_pct,sharpe,max_dd_pct,trades,pass
OldGuardNoBNB,5,6.0,-36.6070,-2.159445,50.9441,12,0
OldGuardNoBNB,6,6.0,35.1446,6.384386,14.1112,11,1
LargeCaps5,0,6.0,233.5520,11.870369,14.9762,10,1
LargeCaps5,1,6.0,14.2086,6.307059,10.4424,10,1
LargeCaps5,2,6.0,53.2703,10.010193,8.1217,12,1
LargeCaps5,3,6.0,301.8126,21.749662,3.8592,11,1
LargeCaps5,4,6.0,21.8350,6.431123,5.2585,10,1
LargeCaps5,5,6.0,41.6347,5.648296,26.0880,11,1
LargeCaps5,6,6.0,33.2741,9.436322,5.3993,9,1
Legacy3,0,6.0,78.3807,12.429251,11.1305,12,1
Legacy3,1,6.0,39.4228,7.527496,18.1901,13,1
Legacy3,2,6.0,129.8595,10.962111,15.0347,13,1
Legacy3,3,6.0,81.8661,10.670323,13.1397,10,1
Legacy3,4,6.0,-8.8294,-7.343733,14.2711,7,0
