atr_entry_mult,universe,window,train_end,test_end,ret_pct,sharpe,trades,win_rate_pct,max_dd_pct,pass
1.00,NoDOGE,3,1008,1260,64.9518,2.4963,40,47.5000,44.5620,1
1.00,NoDOGE,4,1260,1512,13.6433,2.1952,14,57.1429,32.7146,1
1.00,NoDOGE,5,1512,1764,38.6140,5.1150,14,50.0000,12.9597,1
1.00,NoDOGE,6,1764,2016,-24.0784,-3.2078,18,44.4444,30.5955,1
1.00,Legacy4,0,252,504,-9.0465,0.4170,29,44.8276,37.4641,1
1.00,Legacy4,1,504,756,-32.8133,-1.6946,22,31.8182,65.9920,1
1.00,Legacy4,2,756,1008,142.3839,3.6026,33,48.4848,61.0280,1
1.00,Legacy4,3,1008,1260,8.6061,1.6101,32,46.8750,65.0965,1
1.00,Legacy4,4,1260,1512,32.3667,5.7424,10,60.0000,10.4500,1
1.00,Legacy4,5,1512,1764,10.2408,2.6035,8,50.0000,23.6282,1
1.00,Legacy4,6,1764,2016,-24.4190,-3.4355,18,44.4444,32.8141,1
1.00,Legacy5BNB,0,252,504,50.5716,2.4757,36,50.0000,30.9187,1
1.00,Legacy5BNB,1,504,756,-20.1423,-0.4889,24,37.5000,65.9920,1
1.00,Legacy5BNB,2,756,1008,147.5341,3.5445,35,48.5714,61.0280,1
1.00,Legacy5BNB,3,1008,1260,195.9548,3.9940,33,51.5152,65.0965,1
1.00,Legacy5BNB,4,1260,1512,61.3181,8.1633,12,75.0000,16.9381,1
1.00,Legacy5BNB,5,1512,1764,43.7463,6.4551,12,58.3333,7.8717,1
1.00,Legacy5BNB,6,1764,2016,-28.8838,-4.1017,19,42.1053,36.7831,1
1.00,OldGuardNoBNB,0,252,504,20.6520,1.6478,34,47.0588,37.9000,1
1.00,OldGuardNoBNB,1,504,756,-49.6335,-2.9760,24,33.3333,71.0054,1
1.00,OldGuardNoBNB,2,756,1008,142.3839,3.6026,33,48.4848,61.0280,1
1.00,OldGuardNoBNB,3,1008,1260,8.6061,1.6101,32,46.8750,65.0965,1
1.00,OldGuardNoBNB,4,1260,1512,32.3667,5.7424,10,60.0000,10.4500,1
