universe,cooldown,window,ret,sharpe,trades,max_dd,pass
OldGuard4,0,2,-77.55,-1.263,39,81.39,false
OldGuard4,0,3,-9.12,0.609,36,64.58,true
OldGuard4,0,4,-67.30,-1.750,28,70.73,false
OldGuard4,0,5,-75.39,-1.766,37,81.12,false
OldGuard4,0,6,-57.69,-1.161,33,64.77,false
OldGuard4,0,7,-68.48,-1.329,39,70.03,false
OldGuard4,0,8,23.48,0.743,32,42.09,true
OldGuard4,0,9,74.54,1.430,14,28.51,true
OldGuard4,10,0,27.01,0.817,27,47.30,true
OldGuard4,10,1,-45.79,-0.999,25,51.91,false
OldGuard4,10,2,-37.65,-0.159,26,57.98,false
OldGuard4,10,3,61.91,1.013,27,47.97,true
OldGuard4,10,4,-58.06,-1.845,20,64.59,false
OldGuard4,10,5,-43.57,-0.600,26,61.51,false
OldGuard4,10,6,-18.91,-0.063,24,42.28,false
OldGuard4,10,7,-64.47,-1.609,28,64.47,false
OldGuard4,10,8,67.20,1.135,24,36.48,true
OldGuard4,10,9,78.28,1.473,13,26.98,true
OldGuard4,4,0,260.56,1.964,30,34.06,true
OldGuard4,4,1,-61.01,-1.286,30,65.64,false
OldGuard4,4,2,-47.00,-0.319,29,61.83,false
OldGuard4,4,3,28.30,0.837,32,49.11,true
OldGuard4,4,4,-59.75,-1.809,22,66.02,false
OldGuard4,4,5,-70.21,-1.519,32,74.40,false
OldGuard4,4,6,-45.48,-0.741,30,58.46,false
OldGuard4,4,7,-79.81,-2.196,38,79.81,false
OldGuard4,4,8,97.52,1.203,26,36.48,true
OldGuard4,4,9,78.28,1.473,13,26.98,true
OldGuard4,28,0,129.37,1.669,21,27.51,true
OldGuard4,28,1,-9.88,0.011,15,29.97,true
OldGuard4,28,2,-40.33,-0.832,16,51.04,false
OldGuard4,28,3,57.28,1.121,18,51.58,true
OldGuard4,28,4,-47.22,-1.860,13,47.22,false
OldGuard4,28,5,-64.51,-1.552,20,74.59,false
OldGuard4,28,6,-22.41,-0.324,19,45.75,false
OldGuard4,28,7,-62.55,-1.784,21,62.55,false
OldGuard4,28,8,-16.93,-0.279,16,32.81,false
OldGuard4,28,9,94.41,1.716,8,16.93,true
