mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0.3,Legacy3,3,32.77,2.4715,50.34,14,64.29,true
0.3,Legacy3,4,-21.19,-1.1630,30.40,10,30.00,false
0.3,Legacy3,5,-16.35,-0.5661,42.84,11,45.45,false
0.3,LowVolume5,0,-17.37,0.8588,53.18,16,43.75,false
0.3,LowVolume5,1,-19.33,0.0120,45.17,13,46.15,false
0.3,LowVolume5,2,527.35,6.9577,28.09,11,81.82,true
0.3,LowVolume5,3,183.65,5.4133,49.06,15,60.00,true
0.3,LowVolume5,4,-46.20,-5.1932,46.20,12,16.67,false
0.3,LowVolume5,5,-39.89,-1.0223,62.20,13,38.46,false
0.3,OldGuard4,0,92.98,4.4188,44.44,16,50.00,true
0.3,OldGuard4,1,-4.64,0.5548,36.15,11,54.55,false
0.3,OldGuard4,2,-24.88,-0.1103,43.45,11,45.45,false
0.3,OldGuard4,3,32.77,2.4715,50.34,14,64.29,true
0.3,OldGuard4,4,2.51,1.3463,38.90,11,36.36,true
0.3,OldGuard4,5,24.52,2.4763,50.17,14,42.86,true
0.4,Base5,0,647.78,8.5838,16.81,11,81.82,true
0.4,Base5,1,205.33,4.0154,52.95,11,72.73,true
0.4,Base5,2,130.31,4.9498,28.09,11,63.64,true
0.4,Base5,3,1.70,2.0729,59.52,16,56.25,true
0.4,Base5,4,114.37,8.0401,5.07,8,75.00,true
0.4,Base5,5,39.65,3.0927,38.07,12,41.67,true
0.4,NoDOGE,0,647.78,8.5838,16.81,11,81.82,true
0.4,NoDOGE,1,-20.53,-1.9646,30.12,8,37.50,false
0.4,NoDOGE,2,102.22,3.8729,41.60,14,42.86,true
0.4,NoDOGE,3,170.94,5.9777,59.52,16,62.50,true
0.4,NoDOGE,4,114.37,8.0401,5.07,8,75.00,true
0.4,NoDOGE,5,-10.96,-0.0991,40.20,11,36.36,false
0.4,Legacy4,0,7.24,1.6978,45.84,15,46.67,true
