hedge_atr_period,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
33,OldGuardNoBNB,4,0.85501522,-14.4985,-0.677815,33.0764,61,39.3443,false
33,OldGuardNoBNB,5,1.04016318,4.0163,0.706176,6.8457,46,32.6087,true
33,OldGuardNoBNB,6,1.02436720,2.4367,0.472311,7.0152,62,45.1613,true
33,LargeCaps5,0,1.47278243,47.2782,2.679061,5.6809,53,49.0566,true
33,LargeCaps5,1,1.14781686,14.7817,1.313359,7.7868,80,47.5000,true
33,LargeCaps5,2,1.57335485,57.3355,3.202698,8.1018,72,58.3333,true
33,LargeCaps5,3,0.96369473,-3.6305,-0.268647,14.0093,38,52.6316,false
33,LargeCaps5,4,1.14581265,14.5813,0.839931,19.0614,54,53.7037,true
33,LargeCaps5,5,1.19078566,19.0786,2.013356,4.6954,46,43.4783,true
33,Legacy3,0,1.26119070,26.1191,2.223793,6.2433,33,48.4848,true
33,Legacy3,1,1.25010986,25.0110,3.349709,4.4304,55,60.0000,true
33,Legacy3,2,1.26018761,26.0188,2.242496,3.9350,34,52.9412,true
33,Legacy3,3,0.94416546,-5.5835,-0.497754,9.8880,26,53.8462,false
33,Legacy3,4,0.86110232,-13.8898,-1.066797,26.3001,44,40.9091,false
33,Legacy3,5,1.06218580,6.2186,1.203200,6.4753,34,29.4118,true
33,Legacy3,6,1.02086530,2.0865,0.548596,4.1013,48,47.9167,true
33,LowVolume5,0,1.26641103,26.6411,1.889073,9.0450,45,51.1111,true
33,LowVolume5,1,1.12052090,12.0521,1.573556,9.5251,65,50.7692,true
33,LowVolume5,2,1.18638354,18.6384,1.624632,6.4931,47,44.6809,true
33,LowVolume5,3,0.95283405,-4.7166,-0.209916,19.3295,45,42.2222,false
33,LowVolume5,4,0.83454015,-16.5460,-1.079288,27.1522,49,38.7755,false
33,LowVolume5,5,1.22830932,22.8309,2.217802,6.9682,46,39.1304,true
33,LowVolume5,6,0.91986396,-8.0136,-1.768210,8.6797,45,40.0000,false
33,OldGuard4,0,1.17870927,17.8709,1.502020,8.4533,37,45.9459,true
33,OldGuard4,1,1.20110204,20.1102,2.685863,4.4304,58,56.8966,true
33,OldGuard4,2,1.32388151,32.3882,2.505482,4.7841,44,47.7273,true
33,OldGuard4,3,1.03862842,3.8628,0.369970,12.9904,40,47.5000,true
33,OldGuard4,4,0.86636501,-13.3635,-0.840627,30.4537,51,39.2157,false
33,OldGuard4,5,1.03917476,3.9175,0.717507,7.1572,42,30.9524,true
33,OldGuard4,6,0.97649224,-2.3508,-0.505539,5.4496,54,42.5926,false
34,Base5,0,1.54018553,54.0186,2.689811,5.3383,55,47.2727,true
34,Base5,1,1.18461405,18.4614,1.604207,8.2966,77,49.3506,true
34,Base5,2,1.63515522,63.5155,3.713643,4.9794,67,64.1791,true
34,Base5,3,1.04402460,4.4025,0.492802,14.2674,36,55.5556,true
34,Base5,4,1.00718481,0.7185,0.190511,15.7072,61,50.8197,true
34,Base5,5,1.24756714,24.7567,2.490841,4.3658,54,48.1481,true
34,NoDOGE,0,1.33164760,33.1648,2.107903,5.6809,44,47.7273,true
34,NoDOGE,1,1.18373975,18.3740,1.614659,7.7838,71,50.7042,true
34,NoDOGE,2,1.46882138,46.8821,3.054925,6.9757,60,61.6667,true
34,NoDOGE,3,1.01617569,1.6176,0.234068,15.0842,31,54.8387,true
34,NoDOGE,4,0.93920284,-6.0797,-0.188350,20.0534,50,50.0000,false
34,NoDOGE,5,1.21007808,21.0078,2.261246,4.3658,41,46.3415,true
