universe,window,step,equity,atr_lookback,atr_trend_pct,label
Base5,0,134,0.873342,100,0.25,candidate_lb100_p0.25
Base5,0,135,0.873342,100,0.25,candidate_lb100_p0.25
Base5,0,136,0.873342,100,0.25,candidate_lb100_p0.25
Base5,0,137,0.873342,100,0.25,candidate_lb100_p0.25
Base5,0,138,0.850969,100,0.25,candidate_lb100_p0.25
Base5,0,139,0.850969,100,0.25,candidate_lb100_p0.25
Base5,0,140,0.850969,100,0.25,candidate_lb100_p0.25
Base5,0,141,0.850969,100,0.25,candidate_lb100_p0.25
Base5,0,142,0.850969,100,0.25,candidate_lb100_p0.25
Base5,0,143,0.850969,100,0.25,candidate_lb100_p0.25
Base5,0,144,0.850969,100,0.25,candidate_lb100_p0.25
Base5,0,145,0.850969,100,0.25,candidate_lb100_p0.25
Base5,0,146,1.027071,100,0.25,candidate_lb100_p0.25
Base5,0,147,0.969665,100,0.25,candidate_lb100_p0.25
Base5,0,148,0.969665,100,0.25,candidate_lb100_p0.25
Base5,0,149,0.969665,100,0.25,candidate_lb100_p0.25
Base5,0,150,0.969665,100,0.25,candidate_lb100_p0.25
Base5,0,151,0.969665,100,0.25,candidate_lb100_p0.25
Base5,0,152,0.969665,100,0.25,candidate_lb100_p0.25
Base5,0,153,0.969665,100,0.25,candidate_lb100_p0.25
Base5,0,154,0.969665,100,0.25,candidate_lb100_p0.25
Base5,0,155,0.969665,100,0.25,candidate_lb100_p0.25
Base5,0,156,0.913540,100,0.25,candidate_lb100_p0.25
Base5,0,157,0.913540,100,0.25,candidate_lb100_p0.25
Base5,0,158,0.913540,100,0.25,candidate_lb100_p0.25
Base5,0,159,0.913540,100,0.25,candidate_lb100_p0.25
Base5,0,160,0.913540,100,0.25,candidate_lb100_p0.25
Base5,0,161,0.913540,100,0.25,candidate_lb100_p0.25
Base5,0,162,0.913540,100,0.25,candidate_lb100_p0.25
Base5,0,163,0.913540,100,0.25,candidate_lb100_p0.25
Base5,0,164,0.913540,100,0.25,candidate_lb100_p0.25
Base5,0,165,0.913540,100,0.25,candidate_lb100_p0.25
Base5,0,166,0.913540,100,0.25,candidate_lb100_p0.25
Base5,0,167,0.913540,100,0.25,candidate_lb100_p0.25
Base5,0,168,1.175020,100,0.25,candidate_lb100_p0.25
Base5,0,0,1.000000,100,0.30,candidate_lb100_p0.3
Base5,0,1,1.000000,100,0.30,candidate_lb100_p0.3
Base5,0,2,1.260974,100,0.30,candidate_lb100_p0.3
Base5,0,3,1.260974,100,0.30,candidate_lb100_p0.3
Base5,0,4,1.260974,100,0.30,candidate_lb100_p0.3
Base5,0,5,1.260974,100,0.30,candidate_lb100_p0.3
Base5,0,6,1.260974,100,0.30,candidate_lb100_p0.3
Base5,0,7,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,8,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,9,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,10,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,11,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,12,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,13,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,14,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,15,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,16,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,17,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,18,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,19,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,20,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,21,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,22,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,23,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,24,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,25,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,26,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,27,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,28,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,29,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,30,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,31,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,32,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,33,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,34,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,35,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,36,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,37,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,38,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,39,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,40,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,41,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,42,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,43,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,44,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,45,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,46,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,47,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,48,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,49,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,50,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,51,0.788162,100,0.30,candidate_lb100_p0.3
Base5,0,52,0.843138,100,0.30,candidate_lb100_p0.3
Base5,0,53,0.843138,100,0.30,candidate_lb100_p0.3
Base5,0,54,0.843138,100,0.30,candidate_lb100_p0.3
Base5,0,55,0.843138,100,0.30,candidate_lb100_p0.3
Base5,0,56,0.843138,100,0.30,candidate_lb100_p0.3
Base5,0,57,0.843138,100,0.30,candidate_lb100_p0.3
Base5,0,58,0.843138,100,0.30,candidate_lb100_p0.3
Base5,0,59,0.843138,100,0.30,candidate_lb100_p0.3
Base5,0,60,0.843138,100,0.30,candidate_lb100_p0.3
Base5,0,61,0.693047,100,0.30,candidate_lb100_p0.3
