atr_period,universe,pass,total,pass_pct,avg_sharpe,avg_ret,avg_dd,avg_trades,win_rate,universe_pass
48,OldGuard4,0,13,0.0,0.000,-101.4,101.6,3,36.8,false
56,Base5,0,13,0.0,0.000,-105.7,105.8,3,38.7,false
56,NoDOGE,0,13,0.0,0.000,-106.0,106.1,3,31.4,false
56,Legacy4,0,13,0.0,0.000,-100.4,100.4,5,40.1,false
56,Legacy5BNB,0,13,0.0,0.000,-101.1,101.1,4,42.0,false
56,OldGuardNoBNB,0,13,0.0,0.000,-100.5,100.8,5,44.0,false
56,LargeCaps5,0,13,0.0,0.000,-106.7,106.8,3,30.1,false
56,Legacy3,0,13,0.0,0.000,-103.2,103.3,3,21.2,false
56,LowVolume5,0,13,0.0,0.000,-101.7,102.4,4,37.8,false
56,OldGuard4,0,13,0.0,0.000,-101.4,101.6,3,38.5,false
64,Base5,0,13,0.0,0.000,-108.4,108.4,3,30.4,false
64,NoDOGE,0,13,0.0,0.000,-110.0,110.0,3,23.1,false
64,Legacy4,0,13,0.0,0.000,-100.5,100.5,5,38.5,false
64,Legacy5BNB,0,13,0.0,0.000,-101.2,101.2,4,40.4,false
64,OldGuardNoBNB,0,13,0.0,0.000,-100.5,100.5,5,46.8,false
64,LargeCaps5,0,13,0.0,0.000,-110.6,110.7,3,21.7,false
64,Legacy3,0,13,0.0,0.000,-104.7,104.7,2,20.1,false
64,LowVolume5,0,13,0.0,0.000,-106.1,106.5,2,24.4,false
64,OldGuard4,0,13,0.0,0.000,-101.6,101.6,3,34.0,false
