atr_period,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
20,LowVolume5,0,59877.4516,12.9096,20.1769,96,75.00,true
20,LowVolume5,1,2852.9421,24.7351,22.3659,76,64.47,true
20,LowVolume5,2,3125456.5816,6.1819,24.6531,89,68.54,true
20,LowVolume5,3,2726604784.1234,7.5257,20.9500,107,71.03,true
20,LowVolume5,4,384.2478,47.8463,35.0662,51,50.98,true
20,LowVolume5,5,541.9746,31.3945,61.9344,79,43.04,true
20,LowVolume5,6,490.2200,39.8694,21.6131,80,58.75,true
20,OldGuard4,0,291528.8137,9.6224,20.1769,102,76.47,true
20,OldGuard4,1,1289.7423,25.2127,23.2788,77,61.04,true
20,OldGuard4,2,695359.8691,7.1965,23.8696,78,75.64,true
20,OldGuard4,3,445712.9631,11.8703,15.2218,86,76.74,true
20,OldGuard4,4,764.9101,32.6354,39.6915,54,61.11,true
20,OldGuard4,5,539.1243,35.7605,58.1466,63,36.51,true
20,OldGuard4,6,1704.7796,38.5273,29.1829,92,56.52,true
22,Base5,0,11906323.4484,11.2572,22.5037,86,70.93,true
22,Base5,1,7841.8640,20.0725,32.7921,56,60.71,true
22,Base5,2,148579.2145,9.4712,21.3145,77,74.03,true
22,Base5,3,1648794.4144,12.2086,25.5002,116,68.10,true
22,Base5,4,4369.8502,27.9558,21.1238,76,67.11,true
22,Base5,5,999.1284,20.3066,24.2611,64,45.31,true
22,Base5,6,9715.1132,14.1899,31.1172,83,53.01,true
22,NoDOGE,0,11906323.4484,11.2572,22.5037,86,70.93,true
22,NoDOGE,1,271.0629,36.5216,19.9278,52,51.92,true
22,NoDOGE,2,631711.2637,9.0967,21.3145,76,77.63,true
22,NoDOGE,3,5950653.6028,10.0162,25.5002,118,69.49,true
22,NoDOGE,4,4777.4462,27.5104,21.1238,75,68.00,true
22,NoDOGE,5,198.1150,49.7291,24.2611,55,41.82,true
22,NoDOGE,6,957.3815,47.5258,31.1172,74,52.70,true
