bar,equity,btc_buyhold,drawdown,bh_drawdown
183,18618.371197475804,6307.442466348242,4.0830376470051295,36.925575336517575
184,18618.371197475804,6390.846721667391,4.0830376470051295,36.091532783326095
185,17611.14599355269,5818.4976118106815,9.271997569491731,41.81502388189319
186,17611.14599355269,5658.7147199305255,9.271997569491731,43.41285280069474
187,17611.14599355269,5554.094659140252,9.271997569491731,44.459053408597484
188,17611.14599355269,5371.298306556666,9.271997569491731,46.28701693443334
189,17611.14599355269,5428.406426400347,9.271997569491731,45.715935735996524
190,17611.14599355269,5481.545809813288,9.271997569491731,45.18454190186713
191,17611.14599355269,5466.704298740773,9.271997569491731,45.33295701259227
192,17611.14599355269,5504.663482414243,9.271997569491731,44.95336517585757
193,17611.14599355269,5633.851498046028,9.271997569491731,43.661485019539725
194,17611.14599355269,5624.515848892748,9.271997569491731,43.75484151107252
195,17611.14599355269,5657.802865827181,9.271997569491731,43.42197134172818
196,17611.14599355269,5649.153278332609,9.271997569491731,43.50846721667391
197,17611.14599355269,5426.565349544073,9.271997569491731,45.73434650455927
198,17611.14599355269,5502.778983933999,9.271997569491731,44.97221016066001
199,17611.14599355269,5550.9248805905345,9.271997569491731,44.490751194094656
200,17611.14599355269,5637.863656100738,9.271997569491731,43.621363438992624
201,17611.14599355269,5869.752496743379,9.271997569491731,41.30247503256621
202,17611.14599355269,5838.51498046027,9.271997569491731,41.6148501953973
203,17611.14599355269,5825.4450716456795,9.271997569491731,41.745549283543205
204,17611.14599355269,5715.4928354320455,9.271997569491731,42.845071645679546
205,17611.14599355269,5599.253148067738,9.271997569491731,44.007468519322614
206,16499.10341477125,5614.520191055146,15.000949099815067,43.85479808944854
207,16499.10341477125,5809.057750759878,15.000949099815067,41.90942249240122
208,16499.10341477125,5761.684759009987,15.000949099815067,42.383152409900134
209,16499.10341477125,5728.510638297872,15.000949099815067,42.71489361702128
210,16499.10341477125,5754.728614850195,15.000949099815067,42.452713851498046
211,27683.436841288552,5741.73686495875,0,42.582631350412505
212,27683.436841288552,5667.207989578809,0,43.327920104211906
213,27683.436841288552,5653.495440729484,0,43.46504559270517
214,27683.436841288552,5726.2613981762925,0,42.737386018237075
215,27683.436841288552,5762.613981762917,0,42.37386018237083
216,27683.436841288552,5726.678245766392,0,42.73321754233608
217,27683.436841288552,5744.906643508467,0,42.55093356491533
218,27683.436841288552,5795.0586191923585,0,42.049413808076416
219,27683.436841288552,5780.816326530612,0,42.19183673469388
220,27683.436841288552,5758.575770733826,0,42.41424229266173
221,27683.436841288552,5430.030395136778,0,45.69969604863222
222,27683.436841288552,5469.396439426835,0,45.30603560573165
223,32547.042795134104,5499.7221016066,0,45.00277898393401
224,32547.042795134104,5505.288753799392,0,44.947112462006075
225,32547.042795134104,5864.090316977855,0,41.35909683022145
226,32547.11079541891,5869.969604863222,0,41.30030395136778
227,32426.165375767916,5854.007815892315,0.37160109360004245,41.45992184107685
228,32426.165375767916,5748.119843682153,0.37160109360004245,42.518801563178464
229,32426.165375767916,5669.8914459400785,0.37160109360004245,43.30108554059922
