bar,date,equity
629,2022-05-02 00:00:00,1.1389430896
630,2022-05-03 00:00:00,1.1389430896
631,2022-05-04 00:00:00,1.1389430896
632,2022-05-05 00:00:00,1.1389430896
633,2022-05-06 00:00:00,1.1389430896
634,2022-05-07 00:00:00,1.1389430896
635,2022-05-08 00:00:00,1.1389430896
636,2022-05-09 00:00:00,1.1389430896
637,2022-05-10 00:00:00,1.1389430896
638,2022-05-11 00:00:00,1.1389430896
639,2022-05-12 00:00:00,1.1389430896
640,2022-05-13 00:00:00,1.1389430896
641,2022-05-14 00:00:00,1.1389430896
642,2022-05-15 00:00:00,1.1389430896
643,2022-05-16 00:00:00,1.1389430896
644,2022-05-17 00:00:00,1.1389430896
645,2022-05-18 00:00:00,1.1389430896
646,2022-05-19 00:00:00,1.1389430896
647,2022-05-20 00:00:00,1.1389430896
648,2022-05-21 00:00:00,1.1389430896
649,2022-05-22 00:00:00,1.1389430896
650,2022-05-23 00:00:00,1.1389430896
651,2022-05-24 00:00:00,1.1389430896
652,2022-05-25 00:00:00,1.1389430896
653,2022-05-26 00:00:00,1.1389430896
654,2022-05-27 00:00:00,1.1389430896
655,2022-05-28 00:00:00,1.1389430896
656,2022-05-29 00:00:00,1.1389430896
657,2022-05-30 00:00:00,1.1386394928
658,2022-05-31 00:00:00,1.1394382449
659,2022-06-01 00:00:00,1.1155879299
660,2022-06-02 00:00:00,1.1233195197
661,2022-06-03 00:00:00,1.1143253710
662,2022-06-04 00:00:00,1.1162837599
663,2022-06-05 00:00:00,1.1169432503
664,2022-06-06 00:00:00,1.1343227414
665,2022-06-07 00:00:00,1.1313609516
666,2022-06-08 00:00:00,1.1313609516
667,2022-06-09 00:00:00,1.1313609516
668,2022-06-10 00:00:00,1.1313609516
669,2022-06-11 00:00:00,1.1313609516
670,2022-06-12 00:00:00,1.1313609516
671,2022-06-13 00:00:00,1.1313609516
672,2022-06-14 00:00:00,1.1313609516
673,2022-06-15 00:00:00,1.1313609516
674,2022-06-16 00:00:00,1.1313609516
675,2022-06-17 00:00:00,1.1313609516
676,2022-06-18 00:00:00,1.1313609516
677,2022-06-19 00:00:00,1.1313609516
678,2022-06-20 00:00:00,1.1313609516
679,2022-06-21 00:00:00,1.1313609516
680,2022-06-22 00:00:00,1.1313609516
681,2022-06-23 00:00:00,1.1313609516
682,2022-06-24 00:00:00,1.1313609516
683,2022-06-25 00:00:00,1.1313609516
684,2022-06-26 00:00:00,1.1313609516
685,2022-06-27 00:00:00,1.1313609516
686,2022-06-28 00:00:00,1.1313609516
687,2022-06-29 00:00:00,1.1313609516
688,2022-06-30 00:00:00,1.1313609516
689,2022-07-01 00:00:00,1.1313609516
690,2022-07-02 00:00:00,1.1313609516
691,2022-07-03 00:00:00,1.1313609516
692,2022-07-04 00:00:00,1.1313609516
693,2022-07-05 00:00:00,1.1313609516
694,2022-07-06 00:00:00,1.1313609516
695,2022-07-07 00:00:00,1.1310593760
696,2022-07-08 00:00:00,1.1305326134
697,2022-07-09 00:00:00,1.1304817319
698,2022-07-10 00:00:00,1.1177725170
699,2022-07-11 00:00:00,1.1021097375
700,2022-07-12 00:00:00,1.1021097375
701,2022-07-13 00:00:00,1.1021097375
702,2022-07-14 00:00:00,1.1021097375
703,2022-07-15 00:00:00,1.1021097375
704,2022-07-16 00:00:00,1.1015221807
705,2022-07-17 00:00:00,1.0879622256
706,2022-07-18 00:00:00,1.2007151887
707,2022-07-19 00:00:00,1.2305682756
708,2022-07-20 00:00:00,1.1998848936
709,2022-07-21 00:00:00,1.2094836203
710,2022-07-22 00:00:00,1.2011774158
711,2022-07-23 00:00:00,1.1970228917
712,2022-07-24 00:00:00,1.1989895505
713,2022-07-25 00:00:00,1.1379530886
714,2022-07-26 00:00:00,1.1379530886
715,2022-07-27 00:00:00,1.1376497558
716,2022-07-28 00:00:00,1.1579174766
717,2022-07-29 00:00:00,1.1561597193
718,2022-07-30 00:00:00,1.1483708269
719,2022-07-31 00:00:00,1.1384294510
720,2022-08-01 00:00:00,1.1269421956
721,2022-08-02 00:00:00,1.1226337106
722,2022-08-03 00:00:00,1.1169862800
723,2022-08-04 00:00:00,1.1115168784
724,2022-08-05 00:00:00,1.1523320243
725,2022-08-06 00:00:00,1.1359305750
726,2022-08-07 00:00:00,1.1416527039
727,2022-08-08 00:00:00,1.1695420736
728,2022-08-09 00:00:00,1.1587506180
729,2022-08-10 00:00:00,1.1581328647
730,2022-08-11 00:00:00,1.1633587949
731,2022-08-12 00:00:00,1.1871793915
732,2022-08-13 00:00:00,1.1930484004
733,2022-08-14 00:00:00,1.1808106505
734,2022-08-15 00:00:00,1.1698726203
735,2022-08-16 00:00:00,1.1613425779
736,2022-08-17 00:00:00,1.1442595941
737,2022-08-18 00:00:00,1.1443666566
738,2022-08-19 00:00:00,1.0954779841
739,2022-08-20 00:00:00,1.0954779841
740,2022-08-21 00:00:00,1.0954779841
741,2022-08-22 00:00:00,1.0954779841
742,2022-08-23 00:00:00,1.0954779841
743,2022-08-24 00:00:00,1.0954779841
744,2022-08-25 00:00:00,1.0954779841
745,2022-08-26 00:00:00,1.0954779841
746,2022-08-27 00:00:00,1.0954779841
747,2022-08-28 00:00:00,1.0954779841
748,2022-08-29 00:00:00,1.0954779841
749,2022-08-30 00:00:00,1.0954779841
750,2022-08-31 00:00:00,1.0954779841
751,2022-09-01 00:00:00,1.0954779841
752,2022-09-02 00:00:00,1.0954779841
753,2022-09-03 00:00:00,1.0954779841
754,2022-09-04 00:00:00,1.0954779841
755,2022-09-05 00:00:00,1.0954779841
756,2022-09-06 00:00:00,1.0954779841
757,2022-09-07 00:00:00,1.0954779841
758,2022-09-08 00:00:00,1.0954779841
759,2022-09-09 00:00:00,1.0951859735
760,2022-09-10 00:00:00,1.1067622426
761,2022-09-11 00:00:00,1.1080703093
762,2022-09-12 00:00:00,1.1070958840
763,2022-09-13 00:00:00,1.0402032146
764,2022-09-14 00:00:00,1.0402032146
765,2022-09-15 00:00:00,1.0402032146
766,2022-09-16 00:00:00,1.0402032146
767,2022-09-17 00:00:00,1.0402032146
768,2022-09-18 00:00:00,1.0402032146
769,2022-09-19 00:00:00,1.0402032146
770,2022-09-20 00:00:00,1.0402032146
771,2022-09-21 00:00:00,1.0402032146
772,2022-09-22 00:00:00,1.0399259379
773,2022-09-23 00:00:00,1.0546763751
774,2022-09-24 00:00:00,1.0546763751
775,2022-09-25 00:00:00,1.0546763751
776,2022-09-26 00:00:00,1.0546763751
777,2022-09-27 00:00:00,1.0546763751
778,2022-09-28 00:00:00,1.0546763751
779,2022-09-29 00:00:00,1.0546763751
780,2022-09-30 00:00:00,1.0546763751
781,2022-10-01 00:00:00,1.0546763751
782,2022-10-02 00:00:00,1.0546763751
783,2022-10-03 00:00:00,1.0546763751
784,2022-10-04 00:00:00,1.0543952405
785,2022-10-05 00:00:00,1.0512938552
786,2022-10-06 00:00:00,1.0478810533
787,2022-10-07 00:00:00,1.0401628810
788,2022-10-08 00:00:00,1.0377511814
789,2022-10-09 00:00:00,1.0486322278
790,2022-10-10 00:00:00,1.0171356327
791,2022-10-11 00:00:00,1.0106017098
792,2022-10-12 00:00:00,1.0136087876
