fee_bps,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
3.0,OldGuardNoBNB,5,27.10,3.6603,25.42,12,41.67,true
3.0,LargeCaps5,0,258.26,8.1004,58.68,14,57.14,true
3.0,LargeCaps5,1,-32.45,-4.9295,32.45,11,36.36,false
3.0,LargeCaps5,2,153.14,6.4748,16.43,14,64.29,true
3.0,LargeCaps5,3,209.04,11.9444,24.99,13,69.23,true
3.0,LargeCaps5,4,108.38,9.8169,14.89,12,75.00,true
3.0,LargeCaps5,5,-14.53,-1.0693,37.25,13,38.46,false
3.0,Legacy3,0,292.25,11.9572,12.09,15,66.67,true
3.0,Legacy3,1,27.67,3.1680,26.01,13,53.85,true
3.0,Legacy3,2,-39.91,-3.1513,49.59,16,31.25,false
3.0,Legacy3,3,44.98,3.7762,70.43,15,33.33,true
3.0,Legacy3,4,-33.24,-3.5242,51.83,13,46.15,false
3.0,Legacy3,5,-47.00,-4.2371,53.27,17,23.53,false
3.0,LowVolume5,0,203.96,8.2346,24.46,16,56.25,true
3.0,LowVolume5,1,-9.42,0.1142,40.15,14,50.00,false
3.0,LowVolume5,2,459.10,10.7412,31.85,15,60.00,true
3.0,LowVolume5,3,443.97,9.5689,46.53,14,50.00,true
3.0,LowVolume5,4,-48.96,-4.6504,49.79,13,30.77,false
3.0,LowVolume5,5,-71.66,-6.5143,79.50,18,22.22,false
3.0,OldGuard4,0,208.35,8.2508,29.09,17,58.82,true
3.0,OldGuard4,1,-27.04,-2.6532,33.61,13,38.46,false
3.0,OldGuard4,2,-37.61,-2.8447,48.76,16,37.50,false
3.0,OldGuard4,3,44.98,3.7762,70.43,15,33.33,true
3.0,OldGuard4,4,-13.38,-0.7739,34.80,14,50.00,false
3.0,OldGuard4,5,-42.09,-2.0386,59.97,19,26.32,false
4.0,Base5,0,257.26,8.0886,58.72,14,57.14,true
4.0,Base5,1,758.72,7.2848,19.11,11,63.64,true
4.0,Base5,2,43.84,2.6523,29.81,15,60.00,true
4.0,Base5,3,146.84,8.8143,31.96,14,71.43,true
4.0,Base5,4,93.49,8.9467,14.90,12,75.00,true
4.0,Base5,5,-33.54,-4.8033,49.72,13,23.08,false
4.0,NoDOGE,0,257.26,8.0886,58.72,14,57.14,true
4.0,NoDOGE,1,-22.35,-3.3745,24.80,10,40.00,false
4.0,NoDOGE,2,152.43,6.4580,16.44,14,64.29,true
4.0,NoDOGE,3,171.86,9.4563,31.96,14,71.43,true
4.0,NoDOGE,4,93.49,8.9467,14.90,12,75.00,true
4.0,NoDOGE,5,-14.75,-1.1010,37.37,13,38.46,false
4.0,Legacy4,0,113.44,7.9200,19.76,16,62.50,true
4.0,Legacy4,1,-28.01,-1.3286,36.27,14,35.71,false
4.0,Legacy4,2,143.20,6.3709,16.44,13,53.85,true
4.0,Legacy4,3,374.58,8.3463,34.98,14,64.29,true
4.0,Legacy4,4,5.85,1.5268,28.89,12,58.33,true
4.0,Legacy4,5,-21.40,-1.6529,30.97,13,23.08,false
4.0,Legacy5BNB,0,253.00,12.1434,19.76,15,66.67,true
4.0,Legacy5BNB,1,-34.33,-3.1427,39.22,12,25.00,false
4.0,Legacy5BNB,2,25.33,2.5571,18.05,13,53.85,true
4.0,Legacy5BNB,3,586.61,10.4774,17.71,13,69.23,true
4.0,Legacy5BNB,4,39.32,4.6693,32.39,11,63.64,true
4.0,Legacy5BNB,5,-39.68,-4.6122,47.67,13,30.77,false
4.0,OldGuardNoBNB,0,163.31,7.7232,36.54,15,46.67,true
4.0,OldGuardNoBNB,1,-53.39,-10.9888,53.39,12,16.67,false
4.0,OldGuardNoBNB,2,143.20,6.3709,16.44,13,53.85,true
4.0,OldGuardNoBNB,3,374.58,8.3463,34.98,14,64.29,true
4.0,OldGuardNoBNB,4,5.85,1.5268,28.89,12,58.33,true
4.0,OldGuardNoBNB,5,26.79,3.6368,25.50,12,41.67,true
4.0,LargeCaps5,0,257.26,8.0886,58.72,14,57.14,true
4.0,LargeCaps5,1,-32.60,-4.9604,32.60,11,36.36,false
4.0,LargeCaps5,2,152.43,6.4580,16.44,14,64.29,true
4.0,LargeCaps5,3,208.24,11.9197,25.02,13,69.23,true
4.0,LargeCaps5,4,107.88,9.7842,14.90,12,75.00,true
4.0,LargeCaps5,5,-14.75,-1.1010,37.37,13,38.46,false
4.0,Legacy3,0,291.07,11.9334,12.11,15,66.67,true
4.0,Legacy3,1,27.34,3.1440,26.06,13,53.85,true
4.0,Legacy3,2,-40.10,-3.1731,49.71,16,31.25,false
4.0,Legacy3,3,44.54,3.7659,70.49,15,33.33,true
4.0,Legacy3,4,-33.41,-3.5503,51.92,13,46.15,false
4.0,Legacy3,5,-47.18,-4.2634,53.42,17,23.53,false
4.0,LowVolume5,0,202.98,8.2151,24.49,16,56.25,true
4.0,LowVolume5,1,-9.67,0.0896,40.21,14,50.00,false
4.0,LowVolume5,2,457.42,10.7262,31.92,15,60.00,true
4.0,LowVolume5,3,442.45,9.5580,46.57,14,50.00,true
4.0,LowVolume5,4,-49.09,-4.6695,49.91,13,30.77,false
4.0,LowVolume5,5,-71.77,-6.5333,79.56,18,22.22,false
4.0,OldGuard4,0,207.31,8.2296,29.13,17,58.82,true
4.0,OldGuard4,1,-27.23,-2.6789,33.70,13,38.46,false
4.0,OldGuard4,2,-37.81,-2.8665,48.84,16,37.50,false
4.0,OldGuard4,3,44.54,3.7659,70.49,15,33.33,true
4.0,OldGuard4,4,-13.62,-0.8036,34.93,14,50.00,false
4.0,OldGuard4,5,-42.31,-2.0621,60.07,19,26.32,false
5.0,Base5,0,256.26,8.0769,58.77,14,57.14,true
5.0,Base5,1,756.83,7.2821,19.16,11,63.64,true
5.0,Base5,2,43.41,2.6339,29.83,15,60.00,true
5.0,Base5,3,146.15,8.7916,31.98,14,71.43,true
5.0,Base5,4,93.03,8.9142,14.92,12,75.00,true
5.0,Base5,5,-33.71,-4.8383,49.83,13,23.08,false
5.0,NoDOGE,0,256.26,8.0769,58.77,14,57.14,true
5.0,NoDOGE,1,-22.51,-3.4072,24.89,10,40.00,false
5.0,NoDOGE,2,151.73,6.4412,16.46,14,64.29,true
5.0,NoDOGE,3,171.10,9.4347,31.98,14,71.43,true
5.0,NoDOGE,4,93.03,8.9142,14.92,12,75.00,true
5.0,NoDOGE,5,-14.97,-1.1327,37.48,13,38.46,false
5.0,Legacy4,0,112.75,7.8903,19.79,16,62.50,true
5.0,Legacy4,1,-28.21,-1.3489,36.34,14,35.71,false
5.0,Legacy4,2,142.57,6.3557,16.46,13,53.85,true
5.0,Legacy4,3,373.26,8.3358,35.02,14,64.29,true
5.0,Legacy4,4,5.60,1.4963,29.01,12,58.33,true
5.0,Legacy4,5,-21.61,-1.6804,31.10,13,23.08,false
5.0,Legacy5BNB,0,251.95,12.1167,19.79,15,66.67,true
5.0,Legacy5BNB,1,-34.49,-3.1670,39.32,12,25.00,false
5.0,Legacy5BNB,2,25.01,2.5319,18.13,13,53.85,true
