cooldown,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
30,LargeCaps5,0,1.23789241,23.7892,2.014687,4.2963,23,69.5652,true
30,LargeCaps5,1,1.04156977,4.1570,0.552947,7.7854,30,46.6667,true
30,LargeCaps5,2,1.47431041,47.4310,3.888746,2.5650,25,72.0000,true
30,LargeCaps5,3,1.22530179,22.5302,1.930531,5.5609,22,68.1818,true
30,LargeCaps5,4,1.15182512,15.1825,1.169759,12.9725,28,57.1429,true
30,LargeCaps5,5,1.16692245,16.6922,2.009654,4.1389,24,54.1667,true
30,Legacy3,0,1.05655846,5.6558,0.683822,5.5639,18,61.1111,true
30,Legacy3,1,1.09685108,9.6851,1.646633,3.5720,20,55.0000,true
30,Legacy3,2,1.33308790,33.3088,3.223821,4.9949,16,68.7500,true
30,Legacy3,3,1.11899604,11.8996,1.187384,8.1814,14,71.4286,true
30,Legacy3,4,0.90447625,-9.5524,-1.352976,15.4265,20,30.0000,false
30,Legacy3,5,1.05678235,5.6782,1.262183,3.6122,15,46.6667,true
30,Legacy3,6,0.98196325,-1.8037,-0.492882,5.8522,18,44.4444,false
30,LowVolume5,0,1.08931009,8.9310,0.870865,9.0450,21,61.9048,true
30,LowVolume5,1,1.05611490,5.6115,0.914154,7.9206,23,52.1739,true
30,LowVolume5,2,1.31631328,31.6313,2.941108,3.1641,20,55.0000,true
30,LowVolume5,3,1.03518458,3.5185,0.351567,11.6944,20,55.0000,true
30,LowVolume5,4,0.95691103,-4.3089,-0.305120,22.3443,24,41.6667,false
30,LowVolume5,5,1.15638987,15.6390,1.867227,4.7712,23,47.8261,true
30,LowVolume5,6,0.93179350,-6.8207,-1.575628,8.6672,21,38.0952,false
30,OldGuard4,0,1.02451278,2.4513,0.324004,10.2873,20,60.0000,true
30,OldGuard4,1,1.04279365,4.2794,0.733491,4.6870,23,47.8261,true
30,OldGuard4,2,1.33476520,33.4765,3.243395,5.6961,21,57.1429,true
30,OldGuard4,3,1.16181484,16.1815,1.246117,8.1814,19,63.1579,true
30,OldGuard4,4,0.97358379,-2.6416,-0.186999,19.9495,24,33.3333,false
30,OldGuard4,5,1.04331008,4.3310,0.892463,5.5455,20,45.0000,true
30,OldGuard4,6,0.97469863,-2.5301,-0.578117,7.8343,23,43.4783,false
31,Base5,0,1.16318810,16.3188,1.321239,10.7067,23,56.5217,true
31,Base5,1,1.10286775,10.2868,1.192192,6.7948,27,55.5556,true
31,Base5,2,1.35415905,35.4159,3.341288,2.5839,24,66.6667,true
31,Base5,3,1.28279360,28.2794,2.384523,7.9999,22,63.6364,true
31,Base5,4,1.07170071,7.1701,0.560988,12.0487,29,55.1724,true
31,Base5,5,1.11388559,11.3886,1.362355,6.1090,28,53.5714,true
31,NoDOGE,0,1.12132859,12.1329,1.164807,9.6896,20,60.0000,true
31,NoDOGE,1,1.11189915,11.1899,1.293699,6.7948,24,58.3333,true
