universe,window,bar,equity
Legacy4_1,1,77,1.338995
Legacy4_1,1,78,1.338995
Legacy4_1,1,79,1.338995
Legacy4_1,1,80,1.338995
Legacy4_1,1,81,1.338995
Legacy4_1,1,82,1.338995
Legacy4_1,1,83,1.338995
Legacy4_1,1,84,1.338995
Legacy4_1,1,85,1.338995
Legacy4_1,1,86,1.338995
Legacy4_1,1,87,1.338995
Legacy4_1,1,88,1.338995
Legacy4_1,1,89,1.338995
Legacy4_1,1,90,1.338995
Legacy4_1,1,91,1.338995
Legacy4_1,1,92,1.338995
Legacy4_1,1,93,1.338995
Legacy4_1,1,94,1.196727
Legacy4_1,1,95,1.196727
Legacy4_1,1,96,1.196727
Legacy4_1,1,97,1.196727
Legacy4_1,1,98,1.196727
Legacy4_1,1,99,1.196727
Legacy4_1,1,100,1.196727
Legacy4_1,1,101,1.196727
Legacy4_1,1,102,1.196727
Legacy4_1,1,103,1.196727
Legacy4_1,1,104,1.196727
Legacy4_1,1,105,1.196727
Legacy4_1,1,106,1.211629
Legacy4_1,1,107,1.211629
Legacy4_1,1,108,1.325814
Legacy4_1,1,109,1.325814
Legacy4_1,1,110,1.325814
Legacy4_1,1,111,1.372739
Legacy4_1,1,112,1.372739
Legacy4_1,1,113,1.372739
Legacy4_1,1,114,1.372739
Legacy4_2,2,0,1.000000
Legacy4_2,2,1,1.000000
Legacy4_2,2,2,1.000000
Legacy4_2,2,3,1.000000
Legacy4_2,2,4,1.000000
Legacy4_2,2,5,1.000000
Legacy4_2,2,6,1.000000
Legacy4_2,2,7,1.000000
Legacy4_2,2,8,1.000000
Legacy4_2,2,9,1.000000
Legacy4_2,2,10,1.000000
Legacy4_2,2,11,1.000000
Legacy4_2,2,12,1.000000
Legacy4_2,2,13,1.000000
Legacy4_2,2,14,1.000000
Legacy4_2,2,15,1.000000
Legacy4_2,2,16,1.000000
Legacy4_2,2,17,1.000000
Legacy4_2,2,18,1.000000
Legacy4_2,2,19,1.000000
Legacy4_2,2,20,1.000000
Legacy4_2,2,21,1.000000
Legacy4_2,2,22,1.000000
Legacy4_2,2,23,1.000000
Legacy4_2,2,24,1.000000
Legacy4_2,2,25,1.000000
Legacy4_2,2,26,1.000000
Legacy4_2,2,27,1.000000
Legacy4_2,2,28,1.000000
Legacy4_2,2,29,1.000000
Legacy4_2,2,30,1.000000
Legacy4_2,2,31,1.000000
Legacy4_2,2,32,1.000000
Legacy4_2,2,33,1.000000
Legacy4_2,2,34,1.078860
