em,universe,window,bar_idx,equity
1.26,LargeCaps5,5,100,1.00000000
1.26,LargeCaps5,5,110,1.26981598
1.26,LargeCaps5,5,120,1.26981598
1.26,LargeCaps5,5,130,1.26981598
1.26,LargeCaps5,5,140,1.26981598
1.26,LargeCaps5,5,150,1.26981598
1.26,LargeCaps5,5,160,1.26981598
1.26,LargeCaps5,5,170,1.26981598
1.26,LargeCaps5,5,180,1.26981598
1.26,LargeCaps5,5,190,1.26981598
1.26,LargeCaps5,5,200,1.36407747
1.26,LargeCaps5,5,210,1.36407747
1.26,LargeCaps5,5,220,1.36407747
1.26,Legacy3,0,0,1.00000000
1.26,Legacy3,0,10,1.00000000
1.26,Legacy3,0,20,0.99968358
1.26,Legacy3,0,30,0.99968358
1.26,Legacy3,0,40,1.29795068
1.26,Legacy3,0,50,1.29795068
1.26,Legacy3,0,60,1.19704010
1.26,Legacy3,0,70,1.59514892
1.26,Legacy3,0,80,1.81592436
1.26,Legacy3,0,90,1.81592436
1.26,Legacy3,0,100,1.81592436
1.26,Legacy3,0,110,1.87860496
1.26,Legacy3,0,120,1.87860496
1.26,Legacy3,0,130,2.22352063
1.26,Legacy3,0,140,2.22352063
1.26,Legacy3,0,150,2.22352063
1.26,Legacy3,1,0,1.00000000
1.26,Legacy3,1,10,1.00000000
1.26,Legacy3,1,20,1.00000000
1.26,Legacy3,1,30,1.00000000
1.26,Legacy3,1,40,1.00000000
1.26,Legacy3,1,50,1.00000000
1.26,Legacy3,1,60,1.00000000
1.26,Legacy3,1,70,1.00000000
1.26,Legacy3,1,80,1.00000000
1.26,Legacy3,1,90,1.00000000
1.26,Legacy3,1,100,1.15042662
1.26,Legacy3,1,110,1.15042662
1.26,Legacy3,1,120,1.03854861
1.26,Legacy3,1,130,1.03854861
1.26,Legacy3,1,140,0.90410878
1.26,Legacy3,1,150,0.95928250
1.26,Legacy3,1,160,0.95928250
1.26,Legacy3,1,170,1.14540983
1.26,Legacy3,2,0,1.00000000
1.26,Legacy3,2,10,1.00000000
1.26,Legacy3,2,20,1.00000000
1.26,Legacy3,2,30,1.00000000
1.26,Legacy3,2,40,1.00000000
1.26,Legacy3,2,50,0.83858281
1.26,Legacy3,2,60,0.83858281
1.26,Legacy3,2,70,0.83858281
1.26,Legacy3,2,80,0.83858281
1.26,Legacy3,2,90,0.83858281
1.26,Legacy3,2,100,0.83858281
1.26,Legacy3,2,110,0.83858281
1.26,Legacy3,2,120,0.88813161
1.26,Legacy3,2,130,1.86617679
1.26,Legacy3,2,140,1.86617679
1.26,Legacy3,2,150,1.86617679
1.26,Legacy3,2,160,1.86617679
1.26,Legacy3,2,170,1.86617679
1.26,Legacy3,3,0,1.00000000
1.26,Legacy3,3,10,1.00000000
1.26,Legacy3,3,20,1.00000000
1.26,Legacy3,3,30,1.00000000
1.26,Legacy3,3,40,1.56440278
1.26,Legacy3,3,50,1.27224483
1.26,Legacy3,3,60,1.57494256
1.26,Legacy3,3,70,1.57494256
1.26,Legacy3,3,80,1.57494256
1.26,Legacy3,3,90,1.57494256
1.26,Legacy3,3,100,1.57494256
1.26,Legacy3,3,110,1.33248019
1.26,Legacy3,3,120,1.73895955
1.26,Legacy3,3,130,1.73895955
1.26,Legacy3,3,140,1.73895955
1.26,Legacy3,3,150,1.73895955
1.26,Legacy3,3,160,1.73895955
1.26,Legacy3,4,0,1.00000000
1.26,Legacy3,4,10,1.00000000
1.26,Legacy3,4,20,1.00000000
1.26,Legacy3,4,30,1.00000000
1.26,Legacy3,4,40,1.00000000
1.26,Legacy3,4,50,0.81775481
1.26,Legacy3,4,60,0.81775481
1.26,Legacy3,4,70,0.95029851
1.26,Legacy3,4,80,0.92095982
1.26,Legacy3,4,90,0.92337281
1.26,Legacy3,4,100,0.92337281
1.26,Legacy3,4,110,0.92337281
1.26,Legacy3,4,120,0.92337281
1.26,Legacy3,4,130,0.92337281
1.26,Legacy3,4,140,0.92337281
1.26,Legacy3,4,150,0.92337281
1.26,Legacy3,4,160,0.92337281
1.26,Legacy3,4,170,0.92337281
1.26,Legacy3,4,180,0.92337281
1.26,Legacy3,4,190,0.92337281
1.26,Legacy3,4,200,0.92337281
1.26,Legacy3,5,0,1.00000000
1.26,Legacy3,5,10,1.00000000
1.26,Legacy3,5,20,1.00000000
1.26,Legacy3,5,30,1.00000000
1.26,Legacy3,5,40,0.81328253
1.26,Legacy3,5,50,0.81328253
1.26,Legacy3,5,60,0.81328253
1.26,Legacy3,5,70,0.81328253
1.26,Legacy3,5,80,0.81328253
1.26,Legacy3,5,90,0.88105607
1.26,Legacy3,5,100,0.88105607
1.26,Legacy3,5,110,0.88105607
1.26,Legacy3,5,120,0.88105607
1.26,Legacy3,5,130,0.88105607
1.26,Legacy3,5,140,0.88105607
1.26,Legacy3,5,150,0.88105607
1.26,Legacy3,5,160,0.88105607
1.26,Legacy3,5,170,0.88105607
1.26,Legacy3,5,180,0.88105607
1.26,Legacy3,5,190,0.88105607
1.26,Legacy3,5,200,0.88105607
1.26,Legacy3,5,210,0.73259921
1.26,LowVolume5,0,0,1.00000000
1.26,LowVolume5,0,10,1.00000000
1.26,LowVolume5,0,20,0.99968358
