chand_period,chand_mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
10,3,LowVolume5,0,-30.61,-2.0483,41.56,9,33.33,false
10,3,LowVolume5,1,45.47,5.9368,30.96,8,50.00,true
10,3,LowVolume5,2,836.33,12.6419,32.89,8,37.50,true
10,3,LowVolume5,3,77.29,7.1070,20.41,7,42.86,true
10,3,LowVolume5,4,-34.89,-6.7299,34.89,7,28.57,false
10,3,LowVolume5,5,-22.51,-3.1349,32.31,7,28.57,false
10,3,OldGuard4,0,78.53,11.5742,10.17,8,62.50,true
10,3,OldGuard4,1,-24.80,-2.2843,35.18,8,37.50,false
10,3,OldGuard4,2,-31.89,-9.2537,35.60,7,28.57,false
10,3,OldGuard4,3,5.84,2.6949,40.54,7,42.86,true
10,3,OldGuard4,4,-32.57,-10.1606,32.57,6,16.67,false
10,3,OldGuard4,5,-9.33,-1.7778,20.09,6,33.33,false
10,3.5,Base5,0,131.44,10.6745,36.52,6,50.00,true
10,3.5,Base5,1,-36.18,-1.9971,46.73,9,22.22,false
10,3.5,Base5,2,838.64,13.1887,11.91,5,80.00,true
10,3.5,Base5,3,25.46,5.8428,19.81,7,42.86,true
10,3.5,Base5,4,107.22,13.8828,23.29,5,40.00,true
10,3.5,Base5,5,37.68,5.7561,16.32,7,71.43,true
10,3.5,NoDOGE,0,171.17,10.9649,36.52,6,50.00,true
10,3.5,NoDOGE,1,-3.02,-0.4613,17.32,5,60.00,false
10,3.5,NoDOGE,2,791.58,12.1006,11.91,6,66.67,true
10,3.5,NoDOGE,3,25.46,5.8428,19.81,7,42.86,true
10,3.5,NoDOGE,4,129.31,19.3000,11.48,4,50.00,true
10,3.5,NoDOGE,5,-2.41,0.8065,34.02,6,66.67,false
10,3.5,Legacy4,0,208.60,23.1634,11.36,6,66.67,true
10,3.5,Legacy4,1,37.80,7.1365,16.57,6,50.00,true
10,3.5,Legacy4,2,93.79,10.9900,21.28,5,40.00,true
10,3.5,Legacy4,3,85.68,8.8735,29.17,6,50.00,true
10,3.5,Legacy4,4,-33.90,-19.9359,33.90,4,0.00,false
10,3.5,Legacy4,5,-7.55,-0.4514,31.09,7,42.86,false
10,3.5,Legacy5BNB,0,323.60,21.1933,11.36,7,57.14,true
10,3.5,Legacy5BNB,1,-24.36,-2.7839,47.74,7,28.57,false
10,3.5,Legacy5BNB,2,85.74,10.6016,21.28,5,40.00,true
10,3.5,Legacy5BNB,3,88.12,9.6743,14.25,5,60.00,true
10,3.5,Legacy5BNB,4,-27.04,-3.2728,34.64,5,20.00,false
10,3.5,Legacy5BNB,5,-32.23,-3.3557,38.66,8,25.00,false
10,3.5,OldGuardNoBNB,0,76.47,9.9500,24.44,8,50.00,true
10,3.5,OldGuardNoBNB,1,-50.57,-13.7282,50.57,6,16.67,false
10,3.5,OldGuardNoBNB,2,93.79,10.9900,21.28,5,40.00,true
10,3.5,OldGuardNoBNB,3,85.68,8.8735,29.17,6,50.00,true
10,3.5,OldGuardNoBNB,4,-33.90,-19.9359,33.90,4,0.00,false
10,3.5,OldGuardNoBNB,5,-14.26,-4.1272,23.49,7,42.86,false
10,3.5,LargeCaps5,0,171.17,10.9649,36.52,6,50.00,true
10,3.5,LargeCaps5,1,-3.46,-0.5666,17.70,5,60.00,false
10,3.5,LargeCaps5,2,678.89,11.7387,11.91,6,66.67,true
10,3.5,LargeCaps5,3,25.17,5.5161,19.81,7,57.14,true
10,3.5,LargeCaps5,4,129.31,19.3000,11.48,4,50.00,true
10,3.5,LargeCaps5,5,-2.41,0.8065,34.02,6,66.67,false
10,3.5,Legacy3,0,270.37,24.2325,11.36,6,66.67,true
10,3.5,Legacy3,1,-0.89,1.5496,32.31,5,40.00,false
10,3.5,Legacy3,2,76.51,9.6537,21.97,6,33.33,true
10,3.5,Legacy3,3,-52.62,-12.1330,57.18,6,16.67,false
10,3.5,Legacy3,4,-15.67,-7.7999,17.50,4,25.00,false
10,3.5,Legacy3,5,-6.94,-0.6474,20.18,5,40.00,false
10,3.5,LowVolume5,0,36.68,5.8894,32.93,7,42.86,true
10,3.5,LowVolume5,1,-28.54,-2.7243,36.41,6,33.33,false
10,3.5,LowVolume5,2,2509.34,26.6913,15.46,6,66.67,true
10,3.5,LowVolume5,3,35.83,6.2186,18.84,7,42.86,true
10,3.5,LowVolume5,4,-60.10,-13.1641,60.10,7,14.29,false
10,3.5,LowVolume5,5,-29.69,-4.9254,33.16,7,28.57,false
10,3.5,OldGuard4,0,219.86,17.5238,11.36,7,71.43,true
10,3.5,OldGuard4,1,-30.57,-5.4641,32.49,6,16.67,false
10,3.5,OldGuard4,2,78.94,9.7982,20.90,6,33.33,true
10,3.5,OldGuard4,3,-52.62,-12.1330,57.18,6,16.67,false
10,3.5,OldGuard4,4,-23.49,-10.8331,23.49,5,20.00,false
10,3.5,OldGuard4,5,-31.45,-17.1263,33.33,6,33.33,false
10,4,Base5,0,108.70,9.1809,36.42,6,50.00,true
10,4,Base5,1,236.49,9.2606,47.29,8,37.50,true
10,4,Base5,2,539.35,12.1445,28.33,5,60.00,true
10,4,Base5,3,33.23,5.8891,22.43,7,28.57,true
10,4,Base5,4,104.87,13.4313,24.16,5,40.00,true
10,4,Base5,5,22.53,5.9195,15.52,6,83.33,true
10,4,NoDOGE,0,144.53,9.4414,36.42,6,50.00,true
10,4,NoDOGE,1,-6.41,-1.3109,20.22,5,60.00,false
10,4,NoDOGE,2,908.55,12.2866,12.98,5,80.00,true
10,4,NoDOGE,3,33.23,5.8891,22.43,7,28.57,true
10,4,NoDOGE,4,126.71,18.4588,12.48,4,50.00,true
10,4,NoDOGE,5,-16.34,-2.8271,33.86,6,66.67,false
10,4,Legacy4,0,209.71,23.2528,11.36,6,66.67,true
10,4,Legacy4,1,-10.92,-1.5563,20.79,6,33.33,false
10,4,Legacy4,2,38.17,5.0058,25.89,6,33.33,true
10,4,Legacy4,3,88.62,8.5075,24.13,6,33.33,true
10,4,Legacy4,4,-41.85,-17.6751,41.85,4,0.00,false
10,4,Legacy4,5,-19.71,-3.0270,36.03,7,42.86,false
10,4,Legacy5BNB,0,275.03,18.5413,13.93,7,57.14,true
10,4,Legacy5BNB,1,-50.15,-13.9517,54.37,7,14.29,false
10,4,Legacy5BNB,2,32.43,4.7421,28.96,6,33.33,true
10,4,Legacy5BNB,3,69.66,7.9574,16.65,5,20.00,true
10,4,Legacy5BNB,4,-12.37,-0.5598,21.18,4,25.00,false
10,4,Legacy5BNB,5,-50.18,-6.1769,50.18,8,25.00,false
10,4,OldGuardNoBNB,0,54.34,8.1710,22.55,8,37.50,true
10,4,OldGuardNoBNB,1,-50.35,-14.0449,50.35,6,16.67,false
10,4,OldGuardNoBNB,2,38.17,5.0058,25.89,6,33.33,true
10,4,OldGuardNoBNB,3,88.62,8.5075,24.13,6,33.33,true
10,4,OldGuardNoBNB,4,-41.85,-17.6751,41.85,4,0.00,false
10,4,OldGuardNoBNB,5,-39.55,-15.6289,39.55,7,28.57,false
10,4,LargeCaps5,0,144.53,9.4414,36.42,6,50.00,true
10,4,LargeCaps5,1,-2.40,-0.1815,16.79,5,60.00,false
10,4,LargeCaps5,2,882.67,12.1792,12.98,5,80.00,true
10,4,LargeCaps5,3,-0.18,2.3146,30.01,7,14.29,false
10,4,LargeCaps5,4,126.71,18.4588,12.48,4,50.00,true
10,4,LargeCaps5,5,-16.34,-2.8271,33.86,6,66.67,false
10,4,Legacy3,0,231.97,22.5402,11.36,6,66.67,true
10,4,Legacy3,1,0.03,1.7193,31.69,5,40.00,true
10,4,Legacy3,2,31.78,6.4865,40.65,6,16.67,true
10,4,Legacy3,3,-60.90,-10.1827,67.15,6,16.67,false
10,4,Legacy3,4,-23.85,-10.3257,26.15,4,25.00,false
10,4,Legacy3,5,-16.67,-2.7012,25.90,5,40.00,false
10,4,LowVolume5,0,22.51,4.5948,32.93,7,42.86,true
10,4,LowVolume5,1,-27.88,-2.6122,35.82,6,33.33,false
10,4,LowVolume5,2,1314.47,21.6719,27.25,6,50.00,true
10,4,LowVolume5,3,15.29,4.2113,28.36,7,28.57,true
10,4,LowVolume5,4,-66.55,-14.7887,66.55,7,14.29,false
10,4,LowVolume5,5,-37.17,-6.0408,37.84,7,28.57,false
10,4,OldGuard4,0,232.06,17.8546,11.36,7,71.43,true
10,4,OldGuard4,1,-39.31,-8.4521,39.31,6,16.67,false
10,4,OldGuard4,2,30.64,6.3101,41.16,6,16.67,true
10,4,OldGuard4,3,-60.90,-10.1827,67.15,6,16.67,false
10,4,OldGuard4,4,-28.50,-10.6321,28.50,5,20.00,false
10,4,OldGuard4,5,-39.88,-13.6370,40.19,6,33.33,false
15,1,Base5,0,19.62,2.2651,59.65,24,41.67,true
15,1,Base5,1,483.70,5.2703,22.40,20,50.00,true
15,1,Base5,2,-12.45,0.6454,40.74,26,34.62,false
15,1,Base5,3,367.82,10.2732,30.67,25,56.00,true
15,1,Base5,4,-10.89,-0.3549,26.43,16,37.50,false
