universe,window,bar_idx,equity
Base5,0,99,2.127943
Base5,0,100,2.127943
Base5,0,101,2.127943
Base5,0,102,2.127943
Base5,0,103,2.127943
Base5,0,104,2.127943
Base5,0,105,2.127943
Base5,0,106,2.127943
Base5,0,107,2.127943
Base5,0,108,2.127943
Base5,0,109,2.127943
Base5,0,110,2.127943
Base5,0,111,2.127943
Base5,0,112,2.127943
Base5,0,113,2.127943
Base5,0,114,2.127943
Base5,0,115,2.127943
Base5,0,116,2.127943
Base5,0,117,2.127943
Base5,0,118,2.127943
Base5,0,119,2.027956
Base5,0,120,2.027956
Base5,0,121,2.027956
Base5,0,122,2.027956
Base5,0,123,2.027956
Base5,0,124,2.027956
Base5,0,125,2.027956
Base5,0,126,2.027956
Base5,0,127,2.027956
Base5,0,128,2.027956
Base5,0,129,2.027956
Base5,0,130,2.027956
Base5,0,131,2.027956
Base5,0,132,2.027956
Base5,0,133,2.027956
Base5,0,134,2.027956
Base5,0,135,2.027956
Base5,0,136,2.027956
Base5,0,137,2.027956
Base5,0,138,2.027956
Base5,0,139,2.027956
Base5,0,140,2.027956
Base5,0,141,2.027956
Base5,0,142,2.027956
Base5,0,143,2.027956
Base5,0,144,2.027956
Base5,0,145,2.027956
Base5,0,146,2.027956
