cp,universe,window,ret_pct,sharpe,max_dd_pct,trades,win_rate_pct,equity_final,pass
8,Legacy3,4,-9.5211,-0.167255,27.38,12,41.67,0.904789,false
8,Legacy3,5,-38.6808,-3.623412,51.47,16,25.00,0.613192,false
8,LowVolume5,0,124.9048,5.166271,39.64,19,52.63,2.249048,true
8,LowVolume5,1,-25.8522,-0.810124,56.41,16,43.75,0.741478,false
8,LowVolume5,2,529.8094,10.796077,24.35,15,60.00,6.298094,true
8,LowVolume5,3,590.4212,10.785117,33.74,14,57.14,6.904212,true
8,LowVolume5,4,-71.8394,-8.148101,73.78,15,20.00,0.281606,false
8,LowVolume5,5,-77.1978,-8.219843,79.40,19,26.32,0.228022,false
8,OldGuard4,0,291.6652,7.251284,43.95,20,65.00,3.916652,true
8,OldGuard4,1,53.4735,6.611396,17.54,12,66.67,1.534735,true
8,OldGuard4,2,151.9585,7.335068,33.89,13,53.85,2.519585,true
8,OldGuard4,3,3.7636,2.139746,44.35,14,42.86,1.037636,true
8,OldGuard4,4,-34.6292,-3.485284,43.94,13,30.77,0.653708,false
8,OldGuard4,5,-56.2916,-5.593265,65.41,17,17.65,0.437084,false
9,Base5,0,165.1812,6.576154,48.24,16,50.00,2.651812,true
9,Base5,1,546.2586,6.170022,8.73,13,69.23,6.462586,true
9,Base5,2,741.9885,14.708537,10.71,12,75.00,8.419885,true
9,Base5,3,423.6977,11.018320,23.98,15,60.00,5.236977,true
9,Base5,4,21.3935,3.790094,22.08,11,36.36,1.213935,true
9,Base5,5,-10.9250,0.411644,44.37,15,33.33,0.890750,false
9,NoDOGE,0,165.1812,6.576154,48.24,16,50.00,2.651812,true
9,NoDOGE,1,-27.6838,-2.934510,46.37,10,40.00,0.723162,false
9,NoDOGE,2,87.5174,5.795178,27.71,15,40.00,1.875174,true
9,NoDOGE,3,662.4692,12.808606,23.98,15,66.67,7.624692,true
9,NoDOGE,4,21.3935,3.790094,22.08,11,36.36,1.213935,true
9,NoDOGE,5,-38.1541,-4.317773,51.83,15,33.33,0.618459,false
9,Legacy4,0,216.5300,10.028368,23.85,17,64.71,3.165300,true
9,Legacy4,1,4.2609,1.825141,42.77,13,46.15,1.042609,true
9,Legacy4,2,272.0762,9.815398,13.89,11,63.64,3.720762,true
9,Legacy4,3,213.1979,9.369866,31.21,15,53.33,3.131979,true
9,Legacy4,4,46.5812,5.576067,27.05,11,54.55,1.465812,true
9,Legacy4,5,6.2973,1.897909,21.68,13,46.15,1.062973,true
9,Legacy5BNB,0,203.2363,9.386300,23.85,17,58.82,3.032363,true
9,Legacy5BNB,1,-38.7251,-6.824077,44.63,14,42.86,0.612749,false
9,Legacy5BNB,2,334.3525,10.605052,11.43,11,72.73,4.343525,true
9,Legacy5BNB,3,223.6592,7.951279,49.22,14,50.00,3.236592,true
9,Legacy5BNB,4,72.0951,9.282721,14.84,9,66.67,1.720951,true
9,Legacy5BNB,5,-1.6428,0.850766,21.30,11,36.36,0.983572,false
9,OldGuardNoBNB,0,213.7724,6.364973,41.24,19,63.16,3.137724,true
9,OldGuardNoBNB,1,-21.5097,-1.298202,41.79,12,41.67,0.784903,false
9,OldGuardNoBNB,2,272.0762,9.815398,13.89,11,63.64,3.720762,true
9,OldGuardNoBNB,3,213.1979,9.369866,31.21,15,53.33,3.131979,true
9,OldGuardNoBNB,4,27.9402,3.742289,27.05,12,50.00,1.279402,true
9,OldGuardNoBNB,5,15.8840,2.615895,29.56,14,50.00,1.158840,true
9,LargeCaps5,0,66.0117,4.199781,48.24,17,41.18,1.660117,true
9,LargeCaps5,1,-27.6838,-2.934510,46.37,10,40.00,0.723162,false
9,LargeCaps5,2,85.8848,5.722672,27.71,15,40.00,1.858848,true
9,LargeCaps5,3,344.2738,9.111260,38.19,14,57.14,4.442738,true
9,LargeCaps5,4,35.1777,5.241441,13.00,11,45.45,1.351777,true
9,LargeCaps5,5,-40.9407,-4.884689,51.83,15,26.67,0.590593,false
9,Legacy3,0,199.2727,9.164441,25.90,18,61.11,2.992727,true
9,Legacy3,1,65.3394,6.205953,18.88,14,57.14,1.653394,true
9,Legacy3,2,75.4308,4.896559,40.22,15,40.00,1.754308,true
9,Legacy3,3,19.4287,2.985605,35.95,14,42.86,1.194287,true
9,Legacy3,4,-9.5211,-0.167255,27.38,12,41.67,0.904789,false
9,Legacy3,5,-39.8838,-3.016667,57.88,15,33.33,0.601162,false
9,LowVolume5,0,94.4464,4.751691,38.34,19,47.37,1.944464,true
9,LowVolume5,1,-25.8522,-0.810124,56.41,16,43.75,0.741478,false
9,LowVolume5,2,507.3182,10.027042,29.43,16,62.50,6.073182,true
9,LowVolume5,3,754.7760,11.909631,30.82,14,57.14,8.547760,true
9,LowVolume5,4,-61.6474,-4.907859,64.89,16,31.25,0.383526,false
9,LowVolume5,5,-54.1593,-2.791478,65.97,18,33.33,0.458407,false
9,OldGuard4,0,244.2228,6.645776,41.90,20,60.00,3.442228,true
9,OldGuard4,1,51.7080,6.437000,17.54,12,66.67,1.517080,true
9,OldGuard4,2,95.3856,5.618787,32.02,14,50.00,1.953856,true
9,OldGuard4,3,19.4287,2.985605,35.95,14,42.86,1.194287,true
9,OldGuard4,4,-34.6292,-3.485284,43.94,13,30.77,0.653708,false
9,OldGuard4,5,-7.9367,1.003290,57.88,16,37.50,0.920633,false
10,Base5,0,163.3836,6.551052,48.59,16,50.00,2.633836,true
10,Base5,1,489.6988,6.089323,13.56,13,61.54,5.896988,true
10,Base5,2,741.9885,14.708537,10.71,12,75.00,8.419885,true
10,Base5,3,315.5965,9.357208,27.63,15,60.00,4.155965,true
10,Base5,4,19.0211,3.350068,23.04,12,33.33,1.190211,true
10,Base5,5,13.1258,2.339340,29.35,15,40.00,1.131258,true
10,NoDOGE,0,163.3836,6.551052,48.59,16,50.00,2.633836,true
10,NoDOGE,1,-28.6790,-2.964940,47.11,10,40.00,0.713210,false
10,NoDOGE,2,87.5174,5.795178,27.71,15,40.00,1.875174,true
10,NoDOGE,3,579.2083,11.796346,23.98,15,66.67,6.792083,true
10,NoDOGE,4,19.0211,3.350068,23.04,12,33.33,1.190211,true
10,NoDOGE,5,-21.1591,-1.786857,38.60,15,40.00,0.788409,false
10,Legacy4,0,112.9364,5.631652,34.76,18,55.56,2.129364,true
10,Legacy4,1,10.3935,2.281148,39.40,13,46.15,1.103935,true
10,Legacy4,2,272.0762,9.815398,13.89,11,63.64,3.720762,true
10,Legacy4,3,186.4552,8.454615,37.09,15,53.33,2.864552,true
10,Legacy4,4,50.4945,5.129727,25.10,11,54.55,1.504945,true
10,Legacy4,5,-13.5106,-0.630617,31.97,13,38.46,0.864894,false
10,Legacy5BNB,0,157.4388,6.572537,34.76,18,55.56,2.574388,true
10,Legacy5BNB,1,-35.1210,-5.610667,41.38,14,42.86,0.648790,false
10,Legacy5BNB,2,334.3525,10.605052,11.43,11,72.73,4.343525,true
10,Legacy5BNB,3,188.3159,7.307243,54.77,14,50.00,2.883159,true
10,Legacy5BNB,4,76.6896,8.108240,12.56,9,66.67,1.766896,true
