atr_period,bar,equity
90,204,44.317061
90,205,67.191569
90,206,63.062430
90,207,71.323621
90,208,79.826200
90,209,72.449050
90,210,72.712075
90,211,63.741177
90,212,58.027145
90,213,57.583046
90,214,60.279657
90,215,59.106801
90,216,58.063795
90,217,58.063795
90,218,56.007934
90,219,58.762876
90,220,68.964641
90,221,72.309353
90,222,73.680720
90,223,77.370320
90,224,72.124225
90,225,85.355539
90,226,80.744070
90,227,80.744070
90,228,79.789504
90,229,80.934069
90,230,82.165726
90,231,80.538826
90,232,68.323045
90,233,64.221458
90,234,64.221458
90,235,65.882892
90,236,64.481774
90,237,67.792003
90,238,60.413380
90,239,60.413380
90,240,58.446560
90,241,99.175039
90,242,143.283613
90,243,145.827020
90,244,140.721583
90,245,140.721583
90,246,142.231762
90,247,123.010313
90,248,109.254841
90,249,110.613556
90,250,110.348027
90,251,109.062805
25,0,1.000000
25,1,1.000000
25,2,1.000000
25,3,1.117681
25,4,1.117681
25,5,1.117681
25,6,1.117681
25,7,1.117681
25,8,1.117681
25,9,1.131752
25,10,1.131752
25,11,1.131752
25,12,1.131752
25,13,1.131752
25,14,1.027619
25,15,1.071443
25,16,1.071443
25,17,1.071443
25,18,1.071443
25,19,1.117689
25,20,1.072854
25,21,1.157474
25,22,1.157474
25,23,1.402268
25,24,1.402268
25,25,1.402268
25,26,1.402268
25,27,1.402268
25,28,1.402268
25,29,1.402268
25,30,1.415081
25,31,1.314699
25,32,1.307472
25,33,1.307472
25,34,1.307472
25,35,1.307472
25,36,1.307472
25,37,1.307472
25,38,1.306442
25,39,1.330930
25,40,1.316484
25,41,1.316484
25,42,1.316484
25,43,1.384625
25,44,1.277716
25,45,1.511310
25,46,1.511310
25,47,1.482717
25,48,1.482717
25,49,1.529871
25,50,1.416149
25,51,1.416149
25,52,1.416149
25,53,1.416149
25,54,1.416149
25,55,1.416149
25,56,1.161906
25,57,1.116650
25,58,1.116650
25,59,1.649242
25,60,2.443337
25,61,2.443337
25,62,2.439773
25,63,2.439773
25,64,2.449637
25,65,2.449637
25,66,3.274389
25,67,3.274389
25,68,3.274389
25,69,3.414424
25,70,3.414424
25,71,2.877578
25,72,2.877578
25,73,2.738157
25,74,2.355634
25,75,2.325474
25,76,2.325474
25,77,2.325474
25,78,2.325474
25,79,1.778693
25,80,1.778693
25,81,1.778693
25,82,1.685383
25,83,1.685383
25,84,1.685383
25,85,1.685383
25,86,1.685383
25,87,1.685383
25,88,1.649908
25,89,1.488188
25,90,1.488188
25,91,1.430673
25,92,1.430673
25,93,1.684275
25,94,1.684275
25,95,1.684275
25,96,1.684275
25,97,1.791829
25,98,1.791829
25,99,1.619987
25,100,1.203864
25,101,1.928622
25,102,1.928622
25,103,1.928622
25,104,1.990715
25,105,1.990715
25,106,1.871626
25,107,1.871626
25,108,1.871626
25,109,1.853982
25,110,1.853982
25,111,2.130085
25,112,2.515232
25,113,2.515232
25,114,2.095342
25,115,2.095342
25,116,2.095342
25,117,2.095342
25,118,2.095342
25,119,2.203031
25,120,4.364025
25,121,4.364025
25,122,4.364025
25,123,3.799323
25,124,3.799323
25,125,4.153933
25,126,4.153933
25,127,4.153933
25,128,4.153933
25,129,4.153933
25,130,4.153933
25,131,4.153933
25,132,4.153933
25,133,4.352637
25,134,7.344960
