symbol,entry_bar,exit_bar,bars_held,entry_price,exit_price,gross_pct,net_pct,fee_pct,by_turtle,by_maxhold
ADAUSDT,1211,1211,1,1.4745,1.678,13.801288572397418,13.573913370454571,0.22737520194284677,1,0
ADAUSDT,1212,1212,1,1.678,1.7934,6.8772348033373065,6.663693874659327,0.2135409286779799,1,0
ADAUSDT,1213,1214,1,1.7934,2.1386,19.24835507973679,19.01009662802906,0.23825845170772908,1,0
BTCUSDT,1260,1263,3,42206.37,38207.05,-9.47563128504062,-9.656499154600962,0.18086786956034118,1,0
ETHUSDT,1265,1277,12,2724.78,3011.72,10.530758446553467,10.309917770336607,0.22084067621685932,0,1
SOLUSDT,1278,1285,7,106.94,108.92,1.851505517112395,1.6480060055897194,0.20349951152267565,1,0
ETHUSDT,1292,1292,1,3429.2,3826.82,11.595124227225018,11.37215694605176,0.2229672811732577,1,0
ETHUSDT,1293,1298,5,3826.82,3434.57,-10.25002482478925,-10.429345454509942,0.17932062972069218,1,0
SOLUSDT,1299,1302,3,129.43,125.31,-3.1831878235339617,-3.376628007702709,0.1934401841687472,1,0
SOLUSDT,1305,1312,7,143.82,183.95,27.902934223334718,27.6473839052062,0.2555503181285168,1,0
SOLUSDT,1313,1316,3,183.95,169.82,-7.6814351726012475,-7.865887849579057,0.1844526769778092,1,0
BTCUSDT,1326,1336,10,49224.94,61672.42,25.286937881488527,25.036614329277775,0.25032355221075164,1,0
BTCUSDT,1337,1343,6,61672.42,60688.22,-1.5958511114044116,-1.7924627974955087,0.19661168609109714,1,0
ETHUSDT,1345,1357,12,4167.12,4474.24,7.370078135498859,7.155552504858531,0.2145256306403276,0,1
ETHUSDT,1360,1368,8,4612.59,4209.76,-8.733271329123117,-8.915622435358628,0.18235110623551165,1,0
SOLUSDT,1374,1381,7,158.52,176.16,11.127933383800137,10.905899550865472,0.22203383293466494,1,0
SOLUSDT,1435,1447,12,159.38,184.9,16.012046680888446,15.780254379827753,0.23179230106069326,0,1
SOLUSDT,1448,1450,2,184.9,171.71,-7.133585722011892,-7.3191330032865825,0.18554728127469033,1,0
BTCUSDT,1452,1458,6,43839.99,42535.94,-2.97456728434472,-3.168424292767591,0.1938570084228708,1,0
